master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3280529040,2018-07-01,NMB Bank Ltd,IFC,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-01,2018-07-01,N,,Yes,No,,2018-07-01,,Acq. of Assets,No,,1.0,,,100.0,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,15.062,2018-07-01,,No,,450440,,459056,World Bank,459056,World Bank,United States,3C2456,,3C2456,NMB Bank Ltd,3C2456,NMB Bank Ltd,,,Supranational,Banks,Government and Agencies,Financials,United States,US,Nepal,NP,Priv.,Sub.,6000,,15.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Finance Corp is a non-government agency. It is a supranational organization which focuses on sustainable economic growth issues in developing countries by providing financing to private sector investment, mobilizing capital in the international finance markets, and providing investment and advisory services to businesses and governments. The company is a private equity and venture capital subsidiary focused on the private sector in developing countries. The Organization has 182 member countries in the world. The Company was founded in July 1956 and is located in Washington, Wyoming.","NMB Bank Ltd is a commercial bank. The company was founded in May 2008 and is located in Kathmandu, Nepal.",,,"Cash Only, Cash Only",Assets,nepal,united_states,False,False,False,True,False,False,banks,False,False,2018
3309004040,2018-11-08,NL Gas Udhyog Pvt Ltd,Saisan Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-11-08,2018-11-08,N,,Yes,No,,2018-11-08,,Acq. Maj. Int.,No,,,,,,,,51.0,51.0,,,51.0,51.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-11-08,,No,,79375Z,,79375Z,Saisan Co Ltd,79375Z,Saisan Co Ltd,Japan,8H0966,,4F1787,Nepal Oil Corp,4F1787,Nepal Oil Corp,,,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,Japan,JP,Nepal,NP,Sub.,Priv.,5171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saisan Co Ltd, located in Saitama-Shi Saitama, Japan, retails liquefied natural gas. The company is also involved in the wholesale, and design and construction of various high-pressure gas-related equipment. The Company was founded in 1945.",NL Gas Udhyog Pvt Ltd is a liquefied petroleum gas dealer. The Company is located in Nepal.,,,Unspecified,Stock,nepal,japan,False,False,False,True,False,False,oil_and_gas,True,False,2018
3311638040,2018-11-21,Salasungi Power Ltd,China Harbour Engineering Co,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-11-21,2018-11-21,N,,No,No,,2018-11-21,,Acq. Maj. Int.,No,,,,,100.0,,,92.0,92.0,,,92.0,92.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,8.4,2018-11-21,,No,,16956A,,17095N,China Commun Constr Co Ltd,16938Q,China Commun Constr Grp Ltd,China (Mainland),7F8009,,7F8009,Salasungi Power Ltd,7F8009,Salasungi Power Ltd,,,Transportation & Infrastructure,Building/Construction & Engineering,Industrials,Industrials,China,CH,Nepal,NP,Priv.,Sub.,1629,,8.4,9.13,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"China Harbour Engineering Co Ltd is a highway, street and bridge construction company. The Company was founded in 1980s and is located in Beijing, China.",Salasungi Power Ltd is a site preparation contractor. The Company is located in Nepal.,,,"Cash Only, Cash Only",Stock,nepal,china,False,False,False,False,True,True,building_construction_and_engineering,False,False,2018
