master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3267151040,2018-07-13,Macca Logistics SARL,Scan Global Logistics Pty Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-13,2018-07-13,N,,No,No,,2018-07-13,,Acq. Maj. Int.,No,,,,,,,,55.0,55.0,,,55.0,55.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-07-13,,No,,5H3977,,5F6805,Scan Global Logistics A/S,8H4367,Scan Global Logistics Hldg,Denmark,5H6082,,5H6082,Macca Logistics SARL,5H6082,Macca Logistics SARL,,,Transportation & Infrastructure,Transportation & Infrastructure,Industrials,Industrials,Australia,AU,Mali,MY,Priv.,Sub.,4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scan Global Logistics Pty Ltd is a provider of local freight trucking services. The Company is located in Melbourne, Australia.","Macca Logistics SARL is a provider of local freight trucking services. It has offices in the ports o fDakar, Senegal and Abidjan, Cote d'Ivoire. The Company is located in Mali.",,,Unspecified,Stock,mali,denmark,False,False,False,True,False,False,transportation_and_infrastructure,False,False,2018
3287255040,2018-09-04,Endeavour Mining-Tabakoto,Algom Resources Sl Ltd,,,,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-09-04,2018-12-24,N,,Yes,Yes,,2018-12-24,,Acq. Maj. Int.,No,,1.0,1.0,,,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,1.0,No,No,,2018-09-04,,No,,6H8056,,6H8065,Bcm Invests Ltd,0C3225,BCM International Ltd,Ghana,87130H,,G3040R,Endeavour Mining Corp,G3040R,Endeavour Mining Corp,,BDGN4L2,Metals & Mining,Metals & Mining,Materials,Materials,Sierra Leone,SQ,Mali,MY,Sub.,Sub.,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Algom Resources Sl Limited is a gold ore mine operator. The Company is located in aomahun, Sierra Leone.","Tabakoto gold mine of Endeavour Mining Corp, was founded in March 2013 and is located in Mali.",,,"Cash, Cash Only",Ownership Interest,mali,ghana,False,False,False,False,True,False,metals_and_mining,True,False,2018
3443662040,2018-05-14,Birimian Gold Mali Sarl-Viper,Birimian Gold Mali Sarl,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-14,2018-05-14,N,,Yes,Yes,,2018-05-14,,Acq. Rem. Int.,No,,,,,100.0,,,5.0,100.0,95.0,95.0,5.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.7,2018-05-14,,No,,6J0468,,09300L,Birimian Gold Ltd,08939Z,Birimian Ltd,Australia,6J0470,,6J0468,Birimian Gold Mali Sarl,08939Z,Birimian Ltd,BKPJ9T3,BKPJ9T3,Metals & Mining,Metals & Mining,Materials,Materials,Mali,MY,Mali,MY,Sub.,Sub.,1041,,0.7,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birimian Gold Mali Sarl is a gold ore mine operator. The Company is located in Mali.,"Viper gold project of Birimian Gold Mali Sarl, located in Mali.",,,"Cash, Cash Only",Ownership Interest,mali,australia,False,False,False,True,False,False,metals_and_mining,True,False,2018
