master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
2474657040,2018-07-02,Soco Cabinda Ltd,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-02,2018-10-05,N,,Yes,No,,2018-10-05,,Merger,No,,,,100.0,,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,5.0,2018-07-02,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,United States,0A7709,,83450M,SOCO International PLC,83450M,SOCO International PLC,,B572ZV9,Other Financials,Oil & Gas,Financials,Energy and Power,United States,US,Angola,AN,Sub.,Priv.,1311,,5.0,6.275,6.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,Soco Cabinda Ltd is engaged in the crude petroleum and natural gas services business. The Company is located in Angola.,,AON 1.245 bil (USD 5 mil) cash/80% interest,"Cash Only, Cash Only",Stock,angola,united_states,False,False,True,True,False,False,oil_and_gas,True,False,2018
3302822040,2018-10-23,Oil Block 3/05,Etablisemnts Maurel & Prm SA,,,,1.0,No,No,No,1301.785,No,Friendly,No,No,No,No,No,,No,2018-10-23,2019-07-31,N,,No,No,,2019-07-31,,Acq. Part. Int.,No,,,1.0,,23.81,,76.19,20.0,20.0,,,20.0,20.0,,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,1.0,No,No,105.0,2018-10-23,,No,,57752C,B05DY78,71536A,PT Pertamina (Persero),71536A,PT Pertamina (Persero),Indonesia,7H7782,,7H7777,Sonangol Pesquisa e Producao,83284H,Sonangol Sociedade Nacional,,,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,France,FR,Angola,AN,Sub.,Public,1311,,105.0,523.568,523.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etablissements Maurel & Prom SAis an oil and gas exploration and production company. It specializes in the exploration and production of hydrocarbons in Gabon, Tanzania, Congo and Colombia. The Company was founded in 1813 and is located in Paris, France.","Oil Block 3/05 is engaged in the crude petroleum and natural gas services business. It is located in Angola and comprised of eight mature fields (Bufalo, Cobo, Impala, Impala SE, Oombo, Pacassa, Palanca and Pambi).",Corporate Funds,AON 24.242 bil (USD 80 mil) plus up to AON 7.576 bil (USD 25 mil) in profit-related payments/20% ownership interest.,"Cash, Earnout","Ownership Interest, Ownership Interest",angola,indonesia,False,False,False,False,True,False,oil_and_gas,True,False,2018
3302823040,2018-10-23,Oil Block 3/05A,Etablisemnts Maurel & Prm SA,,,,1.0,No,No,No,,No,Friendly,No,No,No,No,No,,No,2018-10-23,2019-07-31,N,,No,No,,2019-07-31,,Acq. Part. Int.,No,,,1.0,,,,,20.0,20.0,,,20.0,20.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,1.0,No,No,,2018-10-23,,No,,57752C,B05DY78,71536A,PT Pertamina (Persero),71536A,PT Pertamina (Persero),Indonesia,7H7795,,7H7777,Sonangol Pesquisa e Producao,83284H,Sonangol Sociedade Nacional,,,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,France,FR,Angola,AN,Sub.,Public,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etablissements Maurel & Prom SAis an oil and gas exploration and production company. It specializes in the exploration and production of hydrocarbons in Gabon, Tanzania, Congo and Colombia. The Company was founded in 1813 and is located in Paris, France.",Oil Block 3/05A is engaged in the crude petroleum and natural gas services business. It is located in Angola and comprised of two offshore fields (Caco and Gazela).,,,Unspecified,Ownership Interest,angola,indonesia,False,False,False,False,True,False,oil_and_gas,True,False,2018
3389286040,2018-10-31,Ozango Minerais SA,Pensana Metals Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-10-31,2018-10-31,N,,No,No,,2018-10-31,,Acq. Part. Int.,No,,,,,100.0,,,14.0,84.0,70.0,70.0,14.0,84.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.526,2018-10-31,,No,,3J8367,BDZ84H4,3J8367,Pensana Metals Ltd,3J8367,Pensana Metals Ltd,Australia,3J2359,,3J2357,Ozango SAS,3J2357,Ozango SAS,BDZ84H4,,Metals & Mining,Motion Pictures / Audio Visual,Materials,Media and Entertainment,Australia,AU,Angola,AN,Sub.,Public,7812,,0.526,3.755,3.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pensana Metals Ltd, located in Perth, Australia, is a gold and mineral exploration company operating in Australia and Tanzania. The Company was founded in September 26, 2006.","Ozango Minerais SA is engaged in the motion pictures and videos services business. The Company is located in Luanda, Angola.",,,"Cash, Cash Only",Stock,angola,australia,False,False,False,True,False,False,motion_pictures___audio_visual,False,False,2018
3389707040,2018-12-18,Vista Water Lda,Indaqua,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-12-18,2018-12-18,N,,Yes,No,,2018-12-18,,Merger,No,,,,,,,,55.0,100.0,45.0,45.0,55.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-12-18,,No,,45318K,,6E5872,Miya Water Portugal SGPS SA,8F7043,Arison Creative Ltd,Israel,3J2621,,61974P,Mota Engil SGPS SA,30391X,FM Sociedade de Controlo SGPS,,,Water and Waste Management,Water and Waste Management,Energy and Power,Energy and Power,Portugal,PO,Angola,AN,Sub.,Sub.,4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indaqua-Industria e Gestao de Aguas SA, headquartered in Matosinhos, Portugal, is a water utility company. The Company holds, through its subsidiaries, the concessions water supply of the Municipalities of Fafe, Santo Tirso, Trofa, Santa Maria de Feira, Matosinhos and Vila do Conde.","Vista Water Lda is a water supply system operator. The Company is located in Luanda, Angola.",,,Unspecified,Stock,angola,israel,False,False,False,True,False,False,water_and_waste_management,False,False,2018
