master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3270842040,2018-07-25,Bujagali Energy Ltd,SN Power AS,,,,2.0,No,No,No,,No,Neutral,No,No,No,No,,,No,2018-07-25,2018-07-25,N,,No,No,,2018-07-25,,Acq. Part. Int.,No,,,,,,,100.0,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,2.0,No,No,277.0,2018-07-25,,Yes,,78704E,,65636Q,Norfund SA,65636Q,Norfund SA,Norway,12000L,,83025E,Sithe Global Power LLC,09253U,Blackstone Group LP,,BKF2SL7,Alternative Energy Sources,Power,Energy and Power,Energy and Power,Norway,NO,Uganda,UG,Sub.,Sub.,4911,,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SN Power AS is an alternative energy sources establishment. It acquires, develops, builds, owns, and operates hydropower projects in emerging markets on commercial terms in Asia, Latin America, Africa, and Central America. The Company was founded in June 2002 and is located in Oslo, Norway.","Bujagali Energy Ltd is a special purpose company which provides hydroelectric power generation facilities. The Company was founded in 2004 and is located in Kikubamutwe, Uganda.",,An estimated UGX 1025.926 bil (USD 277 mil)/undisclosed minority stake,"Cash Only, Cash Only",Stock,uganda,norway,False,False,False,True,False,False,power,False,False,2018
3315245040,2018-09-13,Abacus Pharma Ltd,The Carlyle Group LLC,,,,,Yes,Yes,No,,No,Friendly,No,No,No,No,,,No,2018-09-13,2018-09-13,N,,No,No,,2018-09-13,,Acq. Maj. Int.,No,,2.0,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-09-13,,No,,14310Q,,14309L,The Carlyle Group LP,14309L,The Carlyle Group LP,United States,8H5504,,8H5504,Abacus Pharma Ltd,8H5504,Abacus Pharma Ltd,BKRTG56,,Alternative Financial Investments,Other Consumer Products,Financials,Consumer Products and Services,United States,US,Uganda,UG,Priv.,Sub.,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Carlyle Group LLC is a financial sponsor. The Company was founded in 1987 and is located in Washington, D. of Columbia.",Abacus Pharma Ltd is a drugs wholesaler. The Company was founded in 1995 and is located in Uganda.,,,Unspecified,Stock,uganda,united_states,False,False,False,True,False,False,other_consumer_products,False,False,2018
3324766040,2018-08-31,Grainpulse Ltd,K+S AG,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-31,2018-08-31,N,,No,No,,2018-08-31,,Acq. Part. Int.,No,,,1.0,,,,,45.0,45.0,,,45.0,45.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-08-31,,No,,09337A,B54C017,09337A,K+S AG,09337A,K+S AG,Germany,9H1886,,9H1886,Grainpulse Ltd,9H1886,Grainpulse Ltd,B54C017,,Chemicals,Food and Beverage,Materials,Consumer Staples,Germany,WG,Uganda,UG,Priv.,Public,5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K+S AG, located in Kassel, Germany, manufactures fertilizers and chemicals. The Company divides its activities into three business segments. The Potash and Magnesium Products segment combines the production and marketing of potash fertilizers and fertilizer specialties as well as potash and magnesium compounds for technical, industrial and pharmaceutical applications. The Salt segment encompasses of food grade salt, industrial salt and salt for chemical use, de-icing salt and sodium chloride brine. The Complementary Activities segment bundles together recycling activities, waste disposal, reutilization in potash and rock salt mines, CATSAN granulation, and other activities important for the Group. The company has locations in Argentina, Bahamas, Brazil, Belgium, Canada, Chile, France, Malta, Mexico, Portugal and the US. The Company was founded in 1889.","Grainpulse Ltd is a grain and field bean wholesaler. The Company is located in Mukono, Uganda.",,,Unspecified,Stock,uganda,germany,False,False,False,True,False,False,food_and_beverage,False,False,2018
3324773040,2018-08-31,Savannah Commodities Co Ltd,K+S AG,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-31,2018-08-31,N,,No,No,,2018-08-31,,Acq. Part. Int.,No,,,1.0,,,,,45.0,45.0,,,45.0,45.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-08-31,,No,,09337A,B54C017,09337A,K+S AG,09337A,K+S AG,Germany,9H1884,,9H1884,Savannah Commodities Co Ltd,9H1884,Savannah Commodities Co Ltd,B54C017,,Chemicals,Food and Beverage,Materials,Consumer Staples,Germany,WG,Uganda,UG,Priv.,Public,5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K+S AG, located in Kassel, Germany, manufactures fertilizers and chemicals. The Company divides its activities into three business segments. The Potash and Magnesium Products segment combines the production and marketing of potash fertilizers and fertilizer specialties as well as potash and magnesium compounds for technical, industrial and pharmaceutical applications. The Salt segment encompasses of food grade salt, industrial salt and salt for chemical use, de-icing salt and sodium chloride brine. The Complementary Activities segment bundles together recycling activities, waste disposal, reutilization in potash and rock salt mines, CATSAN granulation, and other activities important for the Group. The company has locations in Argentina, Bahamas, Brazil, Belgium, Canada, Chile, France, Malta, Mexico, Portugal and the US. The Company was founded in 1889.","Savannah Commodities Co Ltd is a grain and field bean wholesaler. The Company is located in Kampala, Uganda.",,,Unspecified,Stock,uganda,germany,False,False,False,True,False,False,food_and_beverage,False,False,2018
3325168040,2018-11-23,Nakasero Hosp Ltd,Hosp Hldg Invest BV,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-11-23,2018-11-23,N,,No,No,,2018-11-23,,Acq. Maj. Int.,No,,,1.0,,100.0,,,63.0,63.0,,,63.0,63.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,14.0,2018-11-23,,No,,9H2195,,9H2195,Hosp Hldg Invest BV,9H2195,Hosp Hldg Invest BV,Netherlands,9H2192,,9H2192,Nakasero Hosp Ltd,9H2192,Nakasero Hosp Ltd,,,Other Financials,Hospitals,Financials,Healthcare,Netherlands,NT,Uganda,UG,Priv.,Priv.,8062,,14.0,22.222,22.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hospital Holdings Investment BV is a provider of financial investment services. The Company is located in Amsterdam, the Netherlands.","Nakasero Hospital Ltd is a hospital operator. The Company is located in Kampala, Uganda.",,,"Cash, Cash Only",Stock,uganda,netherlands,True,False,True,True,False,False,hospitals,False,False,2018
3361315040,2018-11-21,Ecopharm Uganda Ltd,XSML Management BV,,,,,Yes,Yes,No,,No,Friendly,No,No,No,No,,,No,2018-11-21,2018-11-21,N,,No,No,,2018-11-21,,Acq. Part. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-11-21,,No,,7F1009,,7F1009,XSML Management BV,7F1009,XSML Management BV,Netherlands,1J4464,,1J4464,Ecopharm Uganda Ltd,1J4464,Ecopharm Uganda Ltd,,,Alternative Financial Investments,Other Retailing,Financials,Retail,Netherlands,NT,Uganda,UG,Priv.,Priv.,5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"XSML Management BV is a private equity firm focusing its investments on companies in Central and East Africa. It was founded in 2008 and is located in Amsterdam, the Netherlands.","Ecopharm Uganda LTD is a drug store operator. The Company is located in Kampala, Uganda.",,,Unspecified,Stock,uganda,netherlands,True,False,False,True,False,False,other_retailing,False,False,2018
3442525040,2018-11-09,Delta Petro Uganda Ltd-23 Svc,KenolKobil Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,No,,No,2018-11-09,2018-11-09,N,,Yes,Yes,,2018-11-09,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-11-09,,No,,49180M,B01VM49,49180M,KenolKobil Ltd,49180M,KenolKobil Ltd,Kenya,5J9686,,5J9681,Delta Petro Uganda Ltd,69888T,Par Pacific Holdings Inc,B01VM49,BJH08C3,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,Kenya,KE,Uganda,UG,Sub.,Public,5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KenolKobil Ltd, located in Nairobi, Kenya, wholesales petroleum and petroleum products. The company markets a range of petroleum products, such as gasoline, diesel, kerosene, bitumen, fuel oil, industrial diesel oil, and liquefied petroleum gas. The company serves transport, energy, agriculture, tourism, construction, aviation, and marine sectors. The company's operations lie in Kenya, as well as Uganda, Tanzania, Zambia, and Rwanda. The company was founded in 1959.","23 service stations of Delta Petroleum Uganda Ltd, located in Uganda.",,,Unspecified,Assets,uganda,kenya,False,False,False,False,True,True,oil_and_gas,True,False,2018
3602032040,2018-06-01,Bujagali Energy Ltd,Jubilee Holdings Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-06-01,2020-06-30,N,,No,No,,2020-06-30,,Acq. Part. Int.,No,,,,,100.0,,,9.44,18.2,8.8,8.8,9.4,18.2,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,40.0,2020-06-30,,No,,5H7713,6479314,5H7713,Jubilee Holdings Ltd,5H7713,Jubilee Holdings Ltd,Kenya,12000L,,83025E,Sithe Global Power LLC,09253U,Blackstone Group LP,6479314,BKF2SL7,Insurance,Power,Financials,Energy and Power,Kenya,KE,Uganda,UG,Sub.,Public,4911,,40.0,417.717,417.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jubilee Holdings Ltd is a direct property and casualty insurance carrier. The Company operates through its subsidiaries and transacts all classes of general and long term insurance business. Its geographical segments include Kenya, Uganda, Tanzania, Burundi and Mauritius within which there are three segments classified according to products and services: General including Medical, Ordinary, Group Life & Pensions and Investments. Its classes of General Insurance include Engineering insurance, Fire insurance-domestic risks, Liability insurance, Marine insurance Personal accident insurance and Miscellaneous insurance. Medical insurance means the business of affecting and carrying out contracts of insurance against costs of otherwise non-recoverable medical and surgical expenses incurred by a member as a direct result of sustaining accidental bodily injury. The Ordinary & Group Life includes insurance business of classes, such as life assurance business, superannuation business and business incidental. It is also a holding company. The Company was founded in 1937 and is located in Nairobi, Kenya.","Bujagali Energy Ltd is a special purpose company which provides hydroelectric power generation facilities. The Company was founded in 2004 and is located in Kikubamutwe, Uganda.",,,"Cash Only, Cash Only",Stock,uganda,kenya,False,False,False,False,True,True,power,False,False,2018
