master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3427273040,2018-02-23,WACA,Enko Education,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-02-23,2018-02-23,N,,No,No,,2018-02-23,,Merger,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-02-23,,No,,5J0826,,8F2003,Enko Capital Management LLP,8F2003,Enko Capital Management LLP,United Kingdom,5J0831,,5J0831,WACA,5J0831,WACA,,,Educational Services,Educational Services,Consumer Products and Services,Consumer Products and Services,South Africa,SA,Senegal,SE,Priv.,Sub.,8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enko Education Investments Ltd is a network of international schools operator. The Company was founded in 2013 and is located in Chiselhurston, South Africa. Chiselhurston, South Africa.","West African College Of The Atlantic is a school operator. The Company was founded in 1996 and is located in Dakar, Senegal.",,,Unspecified,Stock,senegal,united_kingdom,False,False,False,True,False,False,educational_services,False,False,2018
3427347040,2018-12-01,Wizall,Banque Centrale Populaire SA,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-12-01,2018-12-12,N,,Yes,No,,2018-12-12,,Acq. Maj. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-12-01,,No,,06668J,B01J1K2,06668J,Banque Centrale Populaire SA,06668J,Banque Centrale Populaire SA,Morocco,5J0876,,3C5251,Total Senegal SA,89151E,Total SA,B01J1K2,B15C557,Banks,IT Consulting & Services,Financials,High Technology,Morocco,MR,Senegal,SE,Sub.,Public,7371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banque Centrale Populaire SA, located in Casablanca, Morocco, is a commercial bank. The Bank maintains overseas offices in Germany, England, Canada, Spain, France, Gibraltar, Netherlands and Belgium. Its principal activity is the provision of short, medium and long-term credit to businesses. It was founded in 1961.",Wizall is a provider of custom computer programming services. The Company is located in Senegal.,,,Unspecified,Stock,senegal,morocco,False,False,False,False,True,False,it_consulting_and_services,False,False,2018
3436877040,2018-08-13,Total E&P Senegal-Rufisque Off,Pc Senegal Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-13,2018-08-13,N,,No,Yes,,2018-08-13,,Acq. Part. Int.,No,,,,,,,,30.0,30.0,,,30.0,30.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-08-13,,No,,5J6201,,71691W,Petroliam Nasional Bhd,71691W,Petroliam Nasional Bhd,Malaysia,5J6207,,5J6206,Total E&P Senegal SASU,89151E,Total SA,,B15C557,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,Senegal,SE,Senegal,SE,Sub.,Sub.,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pc Senegal Ltd is engaged in the crude petroleum and natural gas services business. The Company is located in Senegal.,"Rufisque offshore profond block of Total E&P Senegal SASU, located in Senegal.",,,"Cash, Cash Only",Ownership Interest,senegal,malaysia,False,False,False,False,True,False,oil_and_gas,True,False,2018
