country,count
afghanistan,3
angola,11
bangladesh,47
benin,8
bhutan,6
burkina_faso,8
burundi,4
cambodia,92
central_african_republic,2
chad,2
democratic_republic_of_congo,15
djibouti,3
east_timor,2
ethiopia,54
gambia,4
guinea,13
haiti,3
laos,25
lesotho,5
liberia,8
madagascar,5
malawi,7
mali,5
mauritania,2
mozambique,45
myanmar,117
nepal,15
niger,2
rwanda,17
senegal,20
sierra_leone,1
somalia,3
sudan,3
tanzania,42
togo,3
uganda,34
zambia,31
