industry,count
consumer_products_office_supplies_manufacturing,1
consumer_products_other_consumer_products__retail,2
consumer_products_sporting_goods_hobby_books_and_music_retail,1
electronic_components_all_other_electrical_equipment_and_components_headquarters,2
electronic_components_all_other_electrical_equipment_and_components_manufacturing,2
electronic_components_all_other_electrical_equipment_and_components_research_and_development,1
electronic_components_all_other_electrical_equipment_and_components_retail,1
electronic_components_all_other_electrical_equipment_and_components_sales_marketing_and_support,2
electronic_components_batteries_manufacturing,1
electronic_components_communication_and_energy_wires_and_cables_manufacturing,2
electronic_components_electrical_equipment_manufacturing,1
engines_and_turbines_engines_and_turbines_technical_support_centre,1
financial_services_corporate_and_investment_banking_business_services,29
financial_services_insurance_research_and_development,1
financial_services_insurance_sales_marketing_and_support,10
financial_services_investment_management_business_services,4
financial_services_retail_banking_business_services,44
financial_services_retail_banking_headquarters,2
food_and_beverages_animal_food_manufacturing,3
food_and_beverages_animal_production_manufacturing,2
food_and_beverages_animal_slaughtering_and_processing_manufacturing,1
food_and_beverages_bakeries_and_tortillas_manufacturing,1
food_and_beverages_bakeries_and_tortillas_sales_marketing_and_support,3
food_and_beverages_breweries_and_distilleries_manufacturing,11
food_and_beverages_crop_production_manufacturing,11
food_and_beverages_crop_production_research_and_development,1
food_and_beverages_dairy_products_logistics_distribution_and_transportation,1
food_and_beverages_dairy_products_manufacturing,1
food_and_beverages_food_and_beverage_stores_retail,9
food_and_beverages_fruits_and_vegetables_and_specialist_foods_manufacturing,2
food_and_beverages_grains_and_oilseed_logistics_distribution_and_transportation,1
food_and_beverages_grains_and_oilseed_manufacturing,6
food_and_beverages_grains_and_oilseed_sales_marketing_and_support,2
food_and_beverages_other_food_and_beverages_headquarters,1
food_and_beverages_other_food_and_beverages_manufacturing,3
food_and_beverages_snack_food_manufacturing,1
food_and_beverages_soft_drinks_and_ice_manufacturing,4
food_and_beverages_sugar_and_confectionary_products_manufacturing,3
food_and_beverages_sugar_and_confectionary_products_sales_marketing_and_support,1
food_and_beverages_tobacco_manufacturing,1
food_and_beverages_wholesale_trade_food_and_tobacco_logistics_distribution_and_transportation,1
healthcare_general_medical_and_surgical_hospitals_construction,1
healthcare_outpatient_care_centres_and_medical_and_diagnostic_laboratories_business_services,1
healthcare_outpatient_care_centres_and_medical_and_diagnostic_laboratories_research_and_development,2
hotels_and_tourism_accommodation_construction,27
hotels_and_tourism_travel_arrangement_and_reservation_services_sales_marketing_and_support,3
industrial_equipment_agriculture_construction_and_mining_machinery_sales_marketing_and_support,3
industrial_equipment_all_other_industrial_machinery_sales_marketing_and_support,1
industrial_equipment_food_product_machinery_sales_marketing_and_support,1
industrial_equipment_general_purpose_machinery_education_and_training,1
industrial_equipment_general_purpose_machinery_manufacturing,1
industrial_equipment_general_purpose_machinery_sales_marketing_and_support,7
industrial_equipment_power_transmission_equipment_logistics_distribution_and_transportation,1
industrial_equipment_power_transmission_equipment_sales_marketing_and_support,5
leisure_and_entertainment_performing_arts_spectator_sports_and_related_retail,1
medical_devices_electromedical_and_electrotherapeutic_apparatus_manufacturing,1
medical_devices_medical_equipment_and_supplies_sales_marketing_and_support,4
metals_alumina_and_aluminium_production_and_processing_manufacturing,4
metals_copper_nickel_lead_and_zinc_mining_education_and_training,1
metals_copper_nickel_lead_and_zinc_mining_extraction,2
metals_gold_ore_and_silver_ore_mining_extraction,1
metals_gold_ore_and_silver_ore_mining_shared_services_centre,1
metals_iron_and_steel_mills_and_ferroalloy_manufacturing,2
metals_nonferrous_metal_production_and_processing_manufacturing,2
