#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
40,2018-11-01,#318224,TAPI Pipeline Company,Turkmengaz,"Turkmengaz is the state-owned national gas company of Turkmenistan. It was founded in 1997 and is based in Ashgabat, Turkmenistan.",,,20000.0,,,,,Asia-Pacific,turkmenistan,Ahal Welayaty,Not Specified,Ashgabat,Asia-Pacific,afghanistan,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Pipeline transportation of natural gas,Energy,"Logistics, Distribution & Transportation",151,Yes,89.9,Yes,New,Announced,,Pakistan,"GAIL (India), Turkmengaz, Interstate Gas Systems, Afghan Gas Enterprise",https://economictimes.indiatimes.com/news/international/world-news/tapi-pipeline-ceo-says-first-gas-to-pakistan-in-around-two-years/articleshow/66606774.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,False,False,False,False,True,True,transportation_and_warehousing_pipeline_transportation_of_natural_gas_logistics_distribution_and_transportation,False,False,2018
322,2018-02-01,#298482,Nestle,Nestle,"Nestle provides nutrition, health, and wellness products worldwide. Its brands include Nestle Health Science, Nestle Nespresso, Nestle Purina Petcare and Nestle Waters. The company was founded in 1866 and is based in Vevey, Switzerland.",www.nestle.com,92196.44,0.0,1747.71,1866.0,,+41219241111,Western Europe,switzerland,Switzerland,Vaud,Vevey,Asia-Pacific,afghanistan,Kabul,Not Specified,Kabul,,,Food & Beverages,Other (Food & Beverages),Agribusiness,Headquarters,127,Yes,61.9,Yes,New,Opened,"Ali Sadozai, president, (Afghanistan) ""Our decision to operate directly and invest locally indicates our growing confidence in the region's economic opportunities.""",,,http://www.bakhtarnews.com.af/eng/business/item/31989-nestl%C3%A9-to-start-direct-operations-in-afghanistan.html,True,False,False,True,False,False,food_and_beverages_other_food_and_beverages_headquarters,False,False,2018
