Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
444,445,2017-10-01,#286892,Airswift,Airswift,"Airswift is an oil and gas recruitment agency. It provides contract, direct and executive placement services to oil and gas, and chemical industries. The company offers contract hire services, direct hire and executive search services. Airswift provides payroll and taxation, human resources and insurance, and travel and immigration services. The company was founded in January 2016 as the result of a merger between Air Energi Group and Swift Worldwide Resources.",www.airswift.com,,1559.0,,2016.0,,+7133284560,North America,united_states,Texas,Harris County (TX),Houston (TX),Africa,mauritania,Nouakchott,Not Specified,Nouakchott,,,Business services,Employment services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,"Ford Garrard, senior vice president (Europe and Africa) at Airswift, added, ""We're living in a tremendously exciting time for the African energy industry, with huge potential for growth all across the region. Not least in Mauritania, which is seeing major new oil developments  both on-and-offshore. We're delighted at this opportunity to grow as we support our clients wherever the need arises.""",,,https://www.recruitment-international.co.uk/blog/2017/10/airswift-opens-office-in-mauritania,False,False,False,True,False,False,business_services_employment_services_business_services,False,False,2017
617,618,2017-02-01,#272855,Maghreb Bank for Investment and Foreign Trade,Maghreb Bank for Investment and Foreign Trade,"Maghreb Bank for Investment and Foreign Trade is a financial institution which funds projects and initiatives contributing to the integration and economic development of the Maghreb region. The company was founded in 2015 and is based in Tunis, Tunisia.",www.bmice-maghreb.org,,,,2015.0,,+21670246140,Africa,tunisia,Tunis,Not Specified,Tunis,Africa,mauritania,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,,,,,False,False,False,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
