="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_capital"

="prop_emne_capital",=""
="voice_and_acc",="14.7395"
="",="(19.6437)"

="pol_stability",="42.5235*"
="",="(22.6787)"

="govt_effectiveness",="-57.5024"
="",="(48.4132)"

="reg_quality",="-47.1314"
="",="(70.6054)"

="rule_of_law",="-52.6814"
="",="(50.7602)"

="control_of_corruption",="67.1739"
="",="(41.5210)"

="gni_per_capita",="-0.0272"
="",="(0.0209)"

="broadband_per_capita",="20.5948"
="",="(20.8517)"

="mobiles_per_capita",="-0.0919"
="",="(0.3767)"

="geographic_proximity",="21.6179"
="",="(21.6859)"

="colonial_link",="-65.2772***"
="",="(23.3489)"

="Constant",="60.6966"
="",="(55.4264)"

="/",=""
="sigma_u",="0.0000"
="",="(16.9679)"

="sigma_e",="56.9223***"
="",="(8.8225)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
