="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne"

="prop_emne",=""
="voice_and_acc",="0.6784"
="",="(10.8366)"

="pol_stability",="30.8991***"
="",="(11.8619)"

="govt_effectiveness",="-22.8338"
="",="(22.9037)"

="reg_quality",="-8.4896"
="",="(35.4553)"

="rule_of_law",="-50.1926**"
="",="(25.4316)"

="control_of_corruption",="36.6567*"
="",="(21.2292)"

="gni_per_capita",="-0.0172"
="",="(0.0110)"

="broadband_per_capita",="22.1468*"
="",="(11.7480)"

="mobiles_per_capita",="-0.3369*"
="",="(0.2023)"

="geographic_proximity",="2.6383"
="",="(10.3538)"

="colonial_link",="-45.2110***"
="",="(13.1218)"

="Constant",="89.4982***"
="",="(33.6970)"

="/",=""
="sigma_u",="0.0000"
="",="(8.9383)"

="sigma_e",="30.7773***"
="",="(3.9141)"

="Observations",="50"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
