="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_capital_excl_col_link"

="prop_emne_capital_excl_col_link",=""
="voice_and_acc",="0.1823"
="",="(0.2201)"

="pol_stability",="0.6626**"
="",="(0.2808)"

="govt_effectiveness",="-0.6344"
="",="(0.5725)"

="reg_quality",="-1.5941*"
="",="(0.8751)"

="rule_of_law",="-1.2543*"
="",="(0.7207)"

="control_of_corruption",="1.6260***"
="",="(0.6139)"

="gni_per_capita",="-0.0001"
="",="(0.0002)"

="broadband_per_capita",="0.1950"
="",="(0.2391)"

="mobiles_per_capita",="0.0024"
="",="(0.0042)"

="geographic_proximity",="0.0668"
="",="(0.2436)"

="Constant",="-0.4078"
="",="(0.5883)"

="/",=""
="sigma_u",="0.0000"
="",="(0.2879)"

="sigma_e",="0.6059***"
="",="(0.1030)"

="Observations",="44"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
