="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_excl_nat_res"

="prop_emne_excl_nat_res",=""
="voice_and_acc",="-0.1317"
="",="(12.6064)"

="pol_stability",="27.5483**"
="",="(13.8137)"

="govt_effectiveness",="-40.9459"
="",="(27.6115)"

="reg_quality",="-11.8291"
="",="(41.7153)"

="rule_of_law",="-37.9744"
="",="(29.7605)"

="control_of_corruption",="41.1208*"
="",="(24.6457)"

="gni_per_capita",="-0.0158"
="",="(0.0129)"

="broadband_per_capita",="18.3151"
="",="(13.3582)"

="mobiles_per_capita",="-0.1611"
="",="(0.2372)"

="geographic_proximity",="8.6978"
="",="(12.1499)"

="colonial_link",="-44.4331***"
="",="(15.0634)"

="Constant",="66.5011*"
="",="(39.1103)"

="/",=""
="sigma_u",="0.0000"
="",="(8.7429)"

="sigma_e",="35.3453***"
="",="(4.8501)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
