="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_excl_nat_res"

="prop_emne_excl_nat_res",=""
="gni_per_capita",="-0.0054"
="",="(0.0116)"

="broadband_per_capita",="13.3558"
="",="(13.9884)"

="mobiles_per_capita",="-0.1295"
="",="(0.1846)"

="geographic_proximity",="4.7900"
="",="(12.9224)"

="colonial_link",="-41.9316***"
="",="(12.5054)"

="Constant",="85.1215***"
="",="(18.4903)"

="/",=""
="sigma_u",="0.0000"
="",="(14.6811)"

="sigma_e",="39.2765***"
="",="(5.4239)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
