="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_capital"

="prop_emne_capital",=""
="voice_and_acc",="0.0467"
="",="(0.2106)"

="pol_stability",="0.2602"
="",="(0.2362)"

="govt_effectiveness",="-0.6294"
="",="(0.5341)"

="reg_quality",="-0.9932"
="",="(0.7459)"

="rule_of_law",="-0.1487"
="",="(0.5291)"

="control_of_corruption",="0.6722"
="",="(0.4491)"

="gni_per_capita",="-0.0002"
="",="(0.0002)"

="broadband_per_capita",="0.0853"
="",="(0.2220)"

="mobiles_per_capita",="0.0023"
="",="(0.0039)"

="geographic_proximity",="0.1530"
="",="(0.2342)"

="Constant",="-0.2139"
="",="(0.5344)"

="/",=""
="sigma_u",="0.0000"
="",="(0.1700)"

="sigma_e",="0.6278***"
="",="(0.0981)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
