="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_cap_excl_qst_src"

="prop_emne_cap_excl_qst_src",=""
="gni_per_capita",="-0.0120"
="",="(0.0192)"

="broadband_per_capita",="11.0237"
="",="(22.2153)"

="mobiles_per_capita",="0.0432"
="",="(0.3164)"

="geographic_proximity",="10.0080"
="",="(22.4096)"

="colonial_link",="-60.7017***"
="",="(21.9719)"

="Constant",="84.8268***"
="",="(28.8201)"

="/",=""
="sigma_u",="0.0000"
="",="(46.5136)"

="sigma_e",="63.9908***"
="",="(9.9941)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
