="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne"

="prop_emne",=""
="gni_per_capita",="-0.0049"
="",="(0.0100)"

="broadband_per_capita",="16.2736"
="",="(12.4010)"

="mobiles_per_capita",="-0.2646"
="",="(0.1612)"

="geographic_proximity",="0.8601"
="",="(11.2569)"

="colonial_link",="-37.1061***"
="",="(10.8347)"

="Constant",="89.7962***"
="",="(16.2868)"

="/",=""
="sigma_u",="0.0000"
="",="(34.7756)"

="sigma_e",="34.7593***"
="",="(4.4465)"

="Observations",="50"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
