="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_capital"

="prop_emne_capital",=""
="gni_per_capita",="-0.0118"
="",="(0.0192)"

="broadband_per_capita",="11.0154"
="",="(22.2212)"

="mobiles_per_capita",="0.0464"
="",="(0.3165)"

="geographic_proximity",="10.2944"
="",="(22.4168)"

="colonial_link",="-60.7371***"
="",="(21.9783)"

="Constant",="84.3750***"
="",="(28.8250)"

="/",=""
="sigma_u",="0.0000"
="",="(45.9074)"

="sigma_e",="64.0078***"
="",="(9.9962)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
