="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_cap_excl_qst_src"

="prop_emne_cap_excl_qst_src",=""
="voice_and_acc",="14.9078"
="",="(19.6278)"

="pol_stability",="42.7216*"
="",="(22.6586)"

="govt_effectiveness",="-57.7507"
="",="(48.3867)"

="reg_quality",="-46.9096"
="",="(70.5421)"

="rule_of_law",="-52.6366"
="",="(50.7295)"

="control_of_corruption",="67.4471"
="",="(41.4900)"

="gni_per_capita",="-0.0274"
="",="(0.0209)"

="broadband_per_capita",="20.6233"
="",="(20.8352)"

="mobiles_per_capita",="-0.0999"
="",="(0.3764)"

="geographic_proximity",="21.3358"
="",="(21.6661)"

="colonial_link",="-65.4345***"
="",="(23.3310)"

="Constant",="62.0670"
="",="(55.3854)"

="/",=""
="sigma_u",="0.0000"
="",="(16.9508)"

="sigma_e",="56.8715***"
="",="(8.8133)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
