="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_capital_excl_nat_res"

="prop_emne_capital_excl_nat_res",=""
="gni_per_capita",="-0.0149"
="",="(0.0196)"

="broadband_per_capita",="2.5806"
="",="(23.1532)"

="mobiles_per_capita",="0.1037"
="",="(0.3241)"

="geographic_proximity",="13.0856"
="",="(22.8954)"

="colonial_link",="-65.8237***"
="",="(22.5629)"

="Constant",="85.1489***"
="",="(29.2697)"

="/",=""
="sigma_u",="0.0000"
="",="(33.8935)"

="sigma_e",="64.9105***"
="",="(10.3937)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
