total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,country,year,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kiribati,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,laos,2017,479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,0.1605504587155963,0.15170670037926676,0.1605504587155963,0.1605504587155963
139.2,139.2,139.2,139.2,139.2,139.2,139.2,139.2,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,lesotho,2017,148.2,139.2,148.2,148.2,139.2,139.2,139.2,139.2,0.9392712550607287,1.0,0.9392712550607287,0.9392712550607287
238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,liberia,2017,238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,0.869327731092437,0.869327731092437,0.869327731092437,0.869327731092437
108.5,108.5,104.5,108.5,104.5,104.5,104.5,104.5,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,madagascar,2017,183.5,108.5,179.5,183.5,104.5,104.5,104.5,104.5,0.5694822888283378,0.9631336405529954,0.5821727019498607,0.5694822888283378
13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,malawi,2017,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,1.0,1.0,1.0,1.0
183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,30.617,18.117,30.617,12.5,18.117,18.117,18.117,0.0,mali,2017,214.117,201.617,214.117,196.0,201.617,201.617,201.617,183.5,0.9416207026999257,1.0,0.9416207026999257,0.9362244897959183
31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mauritania,2017,31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.3054662379421222
5683.3334,4714.1334,5645.3334,5683.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,2806.0,0.0,2806.0,2806.0,0.0,0.0,0.0,0.0,mozambique,2017,8489.3334,4714.1334,8451.3334,8489.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,0.09594786323270092,0.17278539466023596,0.09637927667130017,0.09594786323270092
2478.4932000000003,2446.6932,2413.7932,2478.4932000000003,1314.2332,1282.4332,1314.2332,1314.2332,118.93400000000001,79.262,99.934,118.93400000000001,89.072,49.4,89.072,89.072,myanmar,2017,2597.4272000000005,2525.9552000000003,2513.7272000000003,2597.4272000000005,1403.3051999999998,1331.8332,1403.3051999999998,1403.3051999999998,0.540267384587333,0.5272592324677808,0.5582567591264477,0.540267384587333
165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nepal,2017,165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,0.9565610859728507,0.9565610859728507,0.9565610859728507,0.9565610859728507
