country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count,broadband_per_capita_2016,control_of_corruption_2016,gni_per_capita_2016,govt_effectiveness_2016,mobiles_per_capita_2016,phones_per_capita_2016,pol_stability_2016,reg_quality_2016,rule_of_law_2016,voice_and_acc_2016,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc,broadband_per_capita_2017,control_of_corruption_2017,gni_per_capita_2017,govt_effectiveness_2017,mobiles_per_capita_2017,phones_per_capita_2017,pol_stability_2017,reg_quality_2017,rule_of_law_2017,voice_and_acc_2017
burkina_faso,2017,4.4,4.4,4.4,4.4,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,429.254,0.0,429.254,429.254,0.0,0.0,0.0,0.0,3,0,2,3,0,0,0,0,433.654,4.4,433.654,433.654,0.0,0.0,0.0,0.0,4,1,3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640501,-0.169851243,620.8830011,-0.637808084,79.91513371,0.392,-0.868710697,-0.447476685,-0.454765856,0.013836443,0.0640501,-0.169851243,620.8830011,-0.637808084,79.91513371,0.392,-0.868710697,-0.447476685,-0.454765856,0.013836443,,,,,,,,,,
burkina_faso,2018,436.6642,436.6642,436.6642,436.6642,403.8,403.8,403.8,403.8,7,7,7,7,5,5,5,5,109.189,100.531,109.189,109.189,100.531,100.531,100.531,100.531,4,2,3,4,1,1,1,1,545.8532,537.1952,545.8532,545.8532,504.331,504.331,504.331,504.331,11,9,10,11,6,6,6,6,0.9239315625519828,0.9388226104775322,0.9239315625519828,0.9239315625519828,0.5454545454545454,0.6666666666666666,0.6,0.5454545454545454,,,,,,,,,,,0.062133,-0.138816744,645.4900535,-0.63903302,90.47440751,0.382,-0.927885592,-0.480564415,-0.414195448,0.064944439,0.062133,-0.138816744,645.4900535,-0.63903302,90.47440751,0.382,-0.927885592,-0.480564415,-0.414195448,0.064944439
burundi,2017,18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,3,3,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,3,3,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288715,-1.278321862,282.8168359,-1.483549237,49.13927197,0.174,-1.964375138,-0.854655147,-1.484841824,-1.555478096,0.0288715,-1.278321862,282.8168359,-1.483549237,49.13927197,0.174,-1.964375138,-0.854655147,-1.484841824,-1.555478096,,,,,,,,,,
burundi,2018,8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,1.513,1.513,1.513,1.513,1.513,1.513,1.513,1.513,2,2,2,2,2,2,2,2,9.713,9.713,9.713,9.713,1.513,1.513,1.513,1.513,3,3,3,3,2,2,2,2,0.155770616699269,0.155770616699269,0.155770616699269,0.155770616699269,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,0.0340148,-1.31923759,278.126333,-1.382489681,53.073037,0.203,-2.002573967,-0.871142566,-1.41499579,-1.575841904,0.0340148,-1.31923759,278.126333,-1.382489681,53.073037,0.203,-2.002573967,-0.871142566,-1.41499579,-1.575841904
cambodia,2017,1946.2799999999995,1846.2799999999995,1940.58,1839.5799999999997,1418.3300000000002,1318.3300000000002,1418.3300000000002,1311.63,39,38,38,37,25,24,25,23,664.7099999999999,664.7099999999999,664.7099999999999,400.71,598.71,598.71,598.71,334.71000000000004,13,13,13,12,10,10,10,9,2610.99,2510.99,2605.29,2240.29,2017.04,1917.04,2017.04,1646.34,52,51,51,49,35,34,35,32,0.7725192359986061,0.7634598305847495,0.7742093970344953,0.7348780738208,0.6730769230769231,0.6666666666666666,0.6862745098039216,0.6530612244897959,0.615923,-1.301330924,1170.176185,-0.743826747,127.4626128,1.43,0.20619081,-0.493561119,-1.080978751,-1.105340958,0.615923,-1.301330924,1170.176185,-0.743826747,127.4626128,1.43,0.20619081,-0.493561119,-1.080978751,-1.105340958,,,,,,,,,,
cambodia,2018,3038.3981,2796.6281000000004,3038.3981,2910.3981,2268.39,2026.62,2268.39,2140.39,53,46,53,49,42,35,42,38,100.915,100.21300000000002,100.915,90.91500000000002,18.515,17.813,18.515,8.515,16,15,16,14,11,10,11,10,3139.3131,2896.841100000001,3139.3131,3001.3131,2286.9049999999997,2044.433,2286.9049999999997,2148.9049999999997,69,61,69,63,53,45,53,48,0.7284730535479241,0.7057456482511242,0.7284730535479241,0.7159882785971247,0.7681159420289855,0.7377049180327869,0.7681159420289855,0.7619047619047619,,,,,,,,,,,0.831394,-1.317361832,1236.66909,-0.696423292,117.3225889,0.827,0.093508989,-0.521386206,-1.07539475,-1.15467155,0.831394,-1.317361832,1236.66909,-0.696423292,117.3225889,0.827,0.093508989,-0.521386206,-1.07539475,-1.15467155
central_african_republic,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0156142,-1.305346489,367.0691649,-1.806020021,25.45474491,0.0417,-1.779548764,-1.416793942,-1.850577712,-1.080355525,0.0156142,-1.305346489,367.0691649,-1.806020021,25.45474491,0.0417,-1.779548764,-1.416793942,-1.850577712,-1.080355525,,,,,,,,,,
central_african_republic,2018,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2,1,2,2,2,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0129133,-1.200072527,387.622583,-1.793202519,23.52311236,0.0439,-1.993532181,-1.500687957,-1.761831522,-1.106176853,0.0129133,-1.200072527,387.622583,-1.793202519,23.52311236,0.0439,-1.993532181,-1.500687957,-1.761831522,-1.106176853
chad,2017,8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,2,1,2,2,1,1,1,1,43.2,8.2,43.2,43.2,0.0,0.0,0.0,0.0,3,2,3,3,1,1,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0339141,-1.511605382,689.5409352,-1.55864954,38.27772119,0.0882,-1.301894188,-1.181247473,-1.406829596,-1.36274147,0.0339141,-1.511605382,689.5409352,-1.55864954,38.27772119,0.0882,-1.301894188,-1.181247473,-1.406829596,-1.36274147,,,,,,,,,,
chad,2018,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,1,1,1,1,1,1,16.717,0.0,16.717,16.717,16.717,0.0,16.717,16.717,1,0,1,1,1,0,1,1,21.217,4.5,21.217,21.217,21.217,4.5,21.217,21.217,2,1,2,2,2,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0021187,-1.458002687,650.4143967,-1.510803461,42.21562356,0.0555,-1.286392093,-1.23040843,-1.321412563,-1.371380925,0.0021187,-1.458002687,650.4143967,-1.510803461,42.21562356,0.0555,-1.286392093,-1.23040843,-1.321412563,-1.371380925
