country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count,broadband_per_capita_2016,control_of_corruption_2016,gni_per_capita_2016,govt_effectiveness_2016,mobiles_per_capita_2016,phones_per_capita_2016,pol_stability_2016,reg_quality_2016,rule_of_law_2016,voice_and_acc_2016,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc,broadband_per_capita_2017,control_of_corruption_2017,gni_per_capita_2017,govt_effectiveness_2017,mobiles_per_capita_2017,phones_per_capita_2017,pol_stability_2017,reg_quality_2017,rule_of_law_2017,voice_and_acc_2017
ethiopia,2017,1605.04543,1605.04543,1605.04543,1605.04543,1011.67543,1011.67543,1011.67543,1011.67543,24,24,24,24,13,13,13,13,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,2,1,2,2,0,0,0,0,1606.9454300000002,1606.9454300000002,1606.9454300000002,1606.9454300000002,1011.67543,1011.67543,1011.67543,1011.67543,26,25,26,26,13,13,13,13,0.629564272135862,0.629564272135862,0.629564272135862,0.629564272135862,0.5,0.52,0.5,0.5,0.52381,-0.442177504,669.0269753,-0.713305473,48.64890266,1.07,-1.617245197,-1.109604597,-0.50812608,-1.402380109,0.52381,-0.442177504,669.0269753,-0.713305473,48.64890266,1.07,-1.617245197,-1.109604597,-0.50812608,-1.402380109,,,,,,,,,,
ethiopia,2018,6862.239999999999,6408.539999999999,6862.239999999999,6374.239999999999,1990.94,1990.94,1990.94,1823.1400000000003,30,27,30,27,16,16,16,15,34.812,34.812,34.812,34.812,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,6897.051999999999,6443.351999999999,6897.051999999999,6409.051999999999,1990.94,1990.94,1990.94,1823.1400000000003,33,30,33,30,16,16,16,15,0.2886653602147701,0.3089913448776352,0.2886653602147701,0.2844632872381127,0.4848484848484848,0.5333333333333333,0.4848484848484848,0.5,,,,,,,,,,,0.0574013,-0.582520843,711.4603578,-0.760963619,36.59958437,1.08,-1.677229643,-1.032468319,-0.471185684,-1.432525396,0.0574013,-0.582520843,711.4603578,-0.760963619,36.59958437,1.08,-1.677229643,-1.032468319,-0.471185684,-1.432525396
gambia,2017,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.164202,-0.850145161,594.7129266,-0.936807752,122.480565,1.66,-0.442044199,-0.581205726,-0.79889518,-1.260490179,0.164202,-0.850145161,594.7129266,-0.936807752,122.480565,1.66,-0.442044199,-0.581205726,-0.79889518,-1.260490179,,,,,,,,,,
gambia,2018,121.8,121.8,21.6,100.2,0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,121.8,121.8,21.6,100.2,0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.17078,-0.65736568,606.9373815,-0.745486438,124.5599874,1.37,-0.094831444,-0.511013925,-0.455021232,-0.622010767,0.17078,-0.65736568,606.9373815,-0.745486438,124.5599874,1.37,-0.094831444,-0.511013925,-0.455021232,-0.622010767
guinea,2017,532.8000000000001,32.8,526.2,532.8000000000001,526.2,26.2,526.2,526.2,5,4,4,5,4,3,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,532.8000000000001,32.8,526.2,532.8000000000001,526.2,26.2,526.2,526.2,6,4,5,6,4,3,4,4,0.9876126126126126,0.7987804878048781,1.0,0.9876126126126126,0.6666666666666666,0.75,0.8,0.6666666666666666,0.00911122,-0.946540415,802.6987966,-1.064882994,93.11888331,0.0,-0.396070927,-0.888324559,-1.243085742,-0.760865033,0.00911122,-0.946540415,802.6987966,-1.064882994,93.11888331,0.0,-0.396070927,-0.888324559,-1.243085742,-0.760865033,,,,,,,,,,
guinea,2018,3828.7,1968.7,3828.7,3828.7,3726.4,1866.4,3726.4,3726.4,8,6,8,8,6,4,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3828.7,1968.7,3828.7,3828.7,3726.4,1866.4,3726.4,3726.4,8,6,8,8,6,4,6,6,0.973280748034581,0.9480367755371564,0.973280748034581,0.973280748034581,0.75,0.6666666666666666,0.75,0.75,,,,,,,,,,,0.00909923,-1.038001418,874.3338056,-1.08643198,95.58208181,0.0,-0.69907409,-0.866547704,-1.254833937,-0.73942852,0.00909923,-1.038001418,874.3338056,-1.08643198,95.58208181,0.0,-0.69907409,-0.866547704,-1.254833937,-0.73942852
guinea_bissau,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483653,-1.586325645,670.8478131,-1.706976295,70.0898639,0.0,-0.445275575,-1.245133281,-1.537045121,-0.733713031,0.0483653,-1.586325645,670.8478131,-1.706976295,70.0898639,0.0,-0.445275575,-1.245133281,-1.537045121,-0.733713031,,,,,,,,,,
guinea_bissau,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0454431,-1.597468257,683.3734454,-1.807464123,76.32738349,0.0,-0.497683495,-1.224064589,-1.471865296,-0.79739213,0.0454431,-1.597468257,683.3734454,-1.807464123,76.32738349,0.0,-0.497683495,-1.224064589,-1.471865296,-0.79739213
haiti,2017,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0126318,-1.354178548,1416.180039,-2.170480728,60.7065734,0.0533,-0.745547473,-1.258485794,-1.013668776,-0.759351909,0.0126318,-1.354178548,1416.180039,-2.170480728,60.7065734,0.0533,-0.745547473,-1.258485794,-1.013668776,-0.759351909,,,,,,,,,,
haiti,2018,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.276397,-1.259292126,1432.527316,-2.130574226,58.04608514,0.0547,-0.676077306,-1.353159189,-1.09687674,-0.736969054,0.276397,-1.259292126,1432.527316,-2.130574226,58.04608514,0.0547,-0.676077306,-1.353159189,-1.09687674,-0.736969054
kiribati,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928442,0.290254235,,-0.299741596,43.87704302,0.735,0.846926332,-0.815027714,0.298903853,1.004910588,0.0928442,0.290254235,,-0.299741596,43.87704302,0.735,0.846926332,-0.815027714,0.298903853,1.004910588,,,,,,,,,,
kiribati,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0922885,0.417874157,,-0.06213117,38.32023396,0.636,0.855434954,-0.815004408,0.600542307,1.047766685,0.0922885,0.417874157,,-0.06213117,38.32023396,0.636,0.855434954,-0.815004408,0.600542307,1.047766685
laos,2017,479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,7,6,7,7,5,4,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,10,9,10,10,8,7,8,8,0.1605504587155963,0.1517067003792667,0.1605504587155963,0.1605504587155963,0.8,0.7777777777777778,0.8,0.8,0.353549,-0.986315608,2138.334403,-0.432825565,57.44162039,18.3,0.524906516,-0.756473005,-0.811310947,-1.759131193,0.353549,-0.986315608,2138.334403,-0.432825565,57.44162039,18.3,0.524906516,-0.756473005,-0.811310947,-1.759131193,,,,,,,,,,
laos,2018,2226.86,2207.46,2226.86,2226.86,2001.86,1982.46,2001.86,2001.86,18,17,18,18,11,10,11,11,19.74,0.0,19.74,19.74,19.74,0.0,19.74,19.74,1,0,1,1,1,0,1,1,2246.6,2207.46,2246.6,2246.6,2021.6,1982.46,2021.6,2021.6,19,17,19,19,12,10,12,12,0.8998486601976321,0.8980728982631622,0.8998486601976321,0.8998486601976321,0.631578947368421,0.5882352941176471,0.631578947368421,0.631578947368421,,,,,,,,,,,0.387809,-0.967064977,,-0.416994154,53.04168369,16.0,0.394011855,-0.751458883,-0.90471828,-1.75141418,0.387809,-0.967064977,,-0.416994154,53.04168369,16.0,0.394011855,-0.751458883,-0.90471828,-1.75141418
lesotho,2017,139.2,139.2,139.2,139.2,139.2,139.2,139.2,139.2,1,1,1,1,1,1,1,1,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,3,1,3,3,0,0,0,0,148.2,139.2,148.2,148.2,139.2,139.2,139.2,139.2,4,2,4,4,1,1,1,1,0.9392712550607288,1.0,0.9392712550607288,0.9392712550607288,0.25,0.5,0.25,0.25,0.104674,-0.051930126,1290.250919,-0.878006041,106.485695,1.93,-0.244855866,-0.459403545,-0.186165527,-0.012902796,0.104674,-0.051930126,1290.250919,-0.878006041,106.485695,1.93,-0.244855866,-0.459403545,-0.186165527,-0.012902796,,,,,,,,,,
lesotho,2018,162.4,68.0,162.4,162.4,2.5,2.5,2.5,2.5,4,3,4,4,2,2,2,2,14.26,14.26,14.26,14.26,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,176.66,82.26,176.66,176.66,2.5,2.5,2.5,2.5,6,5,6,6,2,2,2,2,0.014151477414242,0.0303914417699975,0.014151477414242,0.014151477414242,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,,,,,,,,,,,0.223493,-0.058279932,1229.094273,-0.925521493,109.6832836,0.493,-0.194125235,-0.382606447,-0.299606234,-0.008935785,0.223493,-0.058279932,1229.094273,-0.925521493,109.6832836,0.493,-0.194125235,-0.382606447,-0.299606234,-0.008935785
liberia,2017,238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,4,4,4,4,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,4,4,4,4,2,2,2,2,0.869327731092437,0.869327731092437,0.869327731092437,0.869327731092437,0.5,0.5,0.5,0.5,0.168222,-0.742775202,,-1.315434337,66.23325736,0.168,-0.441768199,-0.976915777,-0.966556847,-0.106433168,0.168222,-0.742775202,,-1.315434337,66.23325736,0.168,-0.441768199,-0.976915777,-0.966556847,-0.106433168,,,,,,,,,,
liberia,2018,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,4,4,4,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.185608,-0.687493205,,-1.365272641,55.45558956,,-0.320534796,-0.983210862,-0.97061491,0.042723432,0.185608,-0.687493205,,-1.365272641,55.45558956,,-0.320534796,-0.983210862,-0.97061491,0.042723432
madagascar,2017,108.5,108.5,104.5,108.5,104.5,104.5,104.5,104.5,2,2,1,2,1,1,1,1,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,4,3,1,4,0,0,0,0,183.5,108.5,179.5,183.5,104.5,104.5,104.5,104.5,6,5,2,6,1,1,1,1,0.5694822888283378,0.9631336405529954,0.5821727019498607,0.5694822888283378,0.1666666666666666,0.2,0.5,0.1666666666666666,0.101092,-0.934489012,442.7159214,-1.227900624,31.36331074,0.569,-0.294186473,-0.735103726,-0.832802236,-0.316467643,0.101092,-0.934489012,442.7159214,-1.227900624,31.36331074,0.569,-0.294186473,-0.735103726,-0.832802236,-0.316467643,,,,,,,,,,
madagascar,2018,796.7,796.7,796.7,775.1,670.6,670.6,670.6,670.6,3,3,3,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2,1,1,1,1,796.7,796.7,796.7,775.1,670.6,670.6,670.6,670.6,5,5,4,4,2,2,2,2,0.8417221036776704,0.8417221036776704,0.8417221036776704,0.8651786866210811,0.4,0.4,0.5,0.5,,,,,,,,,,,0.0935555,-1.074516296,453.2425219,-1.195470214,33.36129841,0.257,-0.30283758,-0.737336755,-0.878510773,-0.345090419,0.0935555,-1.074516296,453.2425219,-1.195470214,33.36129841,0.257,-0.30283758,-0.737336755,-0.878510773,-0.345090419
malawi,2017,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,4,4,4,4,2,2,2,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0495052,-0.784189403,,-0.795228839,41.24175037,0.064,-0.116127513,-0.881440103,-0.394623488,-0.030078597,0.0495052,-0.784189403,,-0.795228839,41.24175037,0.064,-0.116127513,-0.881440103,-0.394623488,-0.030078597,,,,,,,,,,
malawi,2018,889.9,889.9,889.9,889.9,889.9,889.9,889.9,889.9,5,5,5,5,5,5,5,5,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,1,1,1,1,1,1,1,1,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,6,6,6,6,6,6,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0599566,-0.68725425,,-0.726111114,43.46753766,0.0961,-0.249828547,-0.791547,-0.394216031,-0.030692024,0.0599566,-0.68725425,,-0.726111114,43.46753766,0.0961,-0.249828547,-0.791547,-0.394216031,-0.030692024
mali,2017,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,3,3,3,3,3,3,3,3,30.617,18.117,30.617,12.5,18.117,18.117,18.117,0.0,5,2,5,4,2,2,2,1,214.117,201.617,214.117,196.0,201.617,201.617,201.617,183.5,8,5,8,7,5,5,5,4,0.9416207026999256,1.0,0.9416207026999256,0.9362244897959184,0.625,1.0,0.625,0.5714285714285714,0.111738,-0.677368283,721.3091758,-1.026530385,108.1154139,1.05,-1.612848759,-0.639129579,-0.798813403,-0.182319134,0.111738,-0.677368283,721.3091758,-1.026530385,108.1154139,1.05,-1.612848759,-0.639129579,-0.798813403,-0.182319134,,,,,,,,,,
mali,2018,64.82000000000001,64.82000000000001,64.82000000000001,64.82000000000001,54.02,54.02,54.02,54.02,2,2,2,2,1,1,1,1,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.0,3,1,3,3,1,0,1,1,65.52000000000001,64.82000000000001,65.52000000000001,65.52000000000001,54.02,54.02,54.02,54.02,5,3,5,5,2,1,2,2,0.8244810744810744,0.8333847577908052,0.8244810744810744,0.8244810744810744,0.4,0.3333333333333333,0.4,0.4,,,,,,,,,,,0.0777267,-0.6660133,731.9551873,-0.964599192,114.0992437,1.08,-1.903490663,-0.616949379,-0.793805599,-0.211932972,0.0777267,-0.6660133,731.9551873,-0.964599192,114.0992437,1.08,-1.903490663,-0.616949379,-0.793805599,-0.211932972
mauritania,2017,31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,2,2,2,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,2,2,2,2,1,1,1,1,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.5,0.5,0.5,0.5,0.272619,-0.76229012,1509.679756,-0.852689743,89.19718946,1.3,-0.748691559,-0.788824499,-0.745787799,-0.774358869,0.272619,-0.76229012,1509.679756,-0.852689743,89.19718946,1.3,-0.748691559,-0.788824499,-0.745787799,-0.774358869,,,,,,,,,,
mauritania,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.379,0.0,0.379,0.379,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.379,0.0,0.379,0.379,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.300123,-0.77436024,1569.571845,-0.80409348,97.93613675,1.36,-0.629497826,-0.82117039,-0.619425774,-0.801386774,0.300123,-0.77436024,1569.571845,-0.80409348,97.93613675,1.36,-0.629497826,-0.82117039,-0.619425774,-0.801386774
mozambique,2017,5683.3334,4714.1334,5645.3334,5683.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,30,28,26,30,12,12,12,12,2806.0,0.0,2806.0,2806.0,0.0,0.0,0.0,0.0,5,1,5,5,2,1,2,2,8489.3334,4714.1334,8451.3334,8489.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,35,29,31,35,14,13,14,14,0.0959478632327009,0.1727853946602359,0.0963792766713001,0.0959478632327009,0.4,0.4482758620689655,0.4516129032258064,0.4,0.170461,-0.902694941,600.9383577,-0.945310771,54.25090462,0.301,-1.096814632,-0.749054015,-1.074712157,-0.416637808,0.170461,-0.902694941,600.9383577,-0.945310771,54.25090462,0.301,-1.096814632,-0.749054015,-1.074712157,-0.416637808,,,,,,,,,,
mozambique,2018,2041.684,1942.2840000000003,1913.184,2041.684,221.484,221.484,221.484,221.484,15,14,10,15,4,4,4,4,55.19,53.69,55.19,55.19,53.69,53.69,53.69,53.69,5,3,5,4,3,2,3,3,2096.874,1995.9740000000004,1968.3740000000005,2096.874,275.174,275.174,275.174,275.174,20,17,15,19,7,6,7,7,0.1312305841934231,0.1378645212813393,0.1397976197612851,0.1312305841934231,0.35,0.3529411764705882,0.4666666666666667,0.3684210526315789,,,,,,,,,,,0.218846,-0.85798502,591.6294065,-0.95836705,41.56716262,0.286,-0.917248428,-0.772097945,-1.008332849,-0.419679195,0.218846,-0.85798502,591.6294065,-0.95836705,41.56716262,0.286,-0.917248428,-0.772097945,-1.008332849,-0.419679195
myanmar,2017,2478.4932000000003,2446.6932,2413.7932,2478.4932000000003,1314.2332,1282.4332,1314.2332,1314.2332,60,59,57,60,32,31,32,32,118.934,79.262,99.934,118.934,89.072,49.4,89.072,89.072,13,9,12,12,8,4,8,7,2597.4272000000005,2525.9552000000003,2513.7272000000003,2597.4272000000005,1403.3051999999998,1331.8332,1403.3051999999998,1403.3051999999998,73,68,69,72,40,35,40,39,0.540267384587333,0.5272592324677808,0.5582567591264477,0.540267384587333,0.547945205479452,0.5147058823529411,0.5797101449275363,0.5416666666666666,0.174162,-0.641805828,,-1.011635542,97.48338233,0.999,-0.808124959,-0.872649312,-0.900859356,-0.796729267,0.174162,-0.641805828,,-1.011635542,97.48338233,0.999,-0.808124959,-0.872649312,-0.900859356,-0.796729267,,,,,,,,,,
myanmar,2018,5257.15,4753.410000000001,5257.15,4473.55,4615.390000000001,4111.650000000001,4615.390000000001,3856.39,57,55,57,51,38,36,38,34,103.26699999999998,103.26699999999998,103.26699999999998,69.16699999999999,88.29499999999999,88.29499999999999,88.29499999999999,68.895,13,13,13,9,6,6,6,4,5360.4169999999995,4856.677000000001,5360.4169999999995,4542.717000000001,4703.685000000001,4199.945000000001,4703.685000000001,3925.285,70,68,70,60,44,42,44,38,0.8774849046258905,0.8647775011597436,0.8774849046258905,0.8640831026894257,0.6285714285714286,0.6176470588235294,0.6285714285714286,0.6333333333333333,,,,,,,,,,,0.214986,-0.590761244,,-1.087967515,91.69666523,1.07,-1.084094286,-0.841920257,-0.959706306,-0.864633381,0.214986,-0.590761244,,-1.087967515,91.69666523,1.07,-1.084094286,-0.841920257,-0.959706306,-0.864633381
nepal,2017,165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,6,6,6,6,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,6,6,6,6,4,4,4,4,0.9565610859728508,0.9565610859728508,0.9565610859728508,0.9565610859728508,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.801933,-0.826682508,889.4771128,-0.894321322,115.2869264,3.07,-0.846989989,-0.789327502,-0.810879767,-0.251382679,0.801933,-0.826682508,889.4771128,-0.894321322,115.2869264,3.07,-0.846989989,-0.789327502,-0.810879767,-0.251382679,,,,,,,,,,
nepal,2018,280.3,280.3,280.3,280.3,95.9,95.9,95.9,95.9,9,9,9,9,4,4,4,4,23.462,23.462,23.462,23.462,8.4,8.4,8.4,8.4,3,2,3,3,1,1,1,1,303.762,303.762,303.762,303.762,104.3,104.3,104.3,104.3,12,11,12,12,5,5,5,5,0.3433609207208275,0.3433609207208275,0.3433609207208275,0.3433609207208275,0.4166666666666667,0.4545454545454545,0.4166666666666667,0.4166666666666667,,,,,,,,,,,1.79644,-0.776277244,956.1383911,-0.942965806,128.0766788,3.07,-0.5841012,-0.740814745,-0.694215536,-0.19951579,1.79644,-0.776277244,956.1383911,-0.942965806,128.0766788,3.07,-0.5841012,-0.740814745,-0.694215536,-0.19951579
niger,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0372575,-0.666101396,505.3772157,-0.693657756,35.71309522,0.778,-1.10075748,-0.720742762,-0.685213208,-0.421779066,0.0372575,-0.666101396,505.3772157,-0.693657756,35.71309522,0.778,-1.10075748,-0.720742762,-0.685213208,-0.421779066,,,,,,,,,,
niger,2018,100.2,100.2,100.2,100.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1,1,0,1,1,100.2,100.2,100.2,100.2,0.0,0.0,0.0,0.0,3,2,3,2,1,0,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,,,,,,,,,,,0.0403537,-0.688091576,512.8803166,-0.754891455,40.38511133,0.533,-1.259505153,-0.726772189,-0.70625025,-0.430217505,0.0403537,-0.688091576,512.8803166,-0.754891455,40.38511133,0.533,-1.259505153,-0.726772189,-0.70625025,-0.430217505
rwanda,2017,113.98762,113.98762,113.98762,113.98762,59.1,59.1,59.1,59.1,6,6,6,6,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,2,2,2,2,113.98762,113.98762,113.98762,113.98762,59.1,59.1,59.1,59.1,9,9,9,9,6,6,6,6,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.182236,0.618455648,738.2100261,0.013704088,74.77669748,0.112,-0.066518664,0.011626933,0.096975163,-1.154162645,0.182236,0.618455648,738.2100261,0.013704088,74.77669748,0.112,-0.066518664,0.011626933,0.096975163,-1.154162645,,,,,,,,,,
rwanda,2018,284.70000000000005,284.70000000000005,264.70000000000005,263.1,42.7,42.7,42.7,42.7,11,11,10,10,3,3,3,3,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3,1,3,2,2,0,2,2,291.70000000000005,291.70000000000005,271.70000000000005,263.1,42.7,42.7,42.7,42.7,14,12,13,12,5,3,5,5,0.1463832704833733,0.1463832704833733,0.1571586308428413,0.1622957050551121,0.3571428571428571,0.25,0.3846153846153846,0.4166666666666667,,,,,,,,,,,0.178494,0.607264578,744.9464074,0.178770423,72.10934219,0.101,0.078270361,0.08438345,0.116847567,-1.120504379,0.178494,0.607264578,744.9464074,0.178770423,72.10934219,0.101,0.078270361,0.08438345,0.116847567,-1.120504379
sao_tome_and_principe,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699596,-0.083296224,,-0.777394295,87.00838579,2.81,0.215979159,-0.870378137,-0.687102139,0.36150983,0.699596,-0.083296224,,-0.777394295,87.00838579,2.81,0.215979159,-0.870378137,-0.687102139,0.36150983,,,,,,,,,,
