country,year,prop_emne_capital,prop_emne_capital_excl_nat_res,prop_emne_capital_excl_col_link,prop_emne_cap_excl_qst_src,colonial_link,geographic_proximity,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc
afghanistan,2017,1.0,1.0,1.0,1.0,False,False,0.0253627,-1.540352702,,-1.290252805,62.37109623,0.329,-2.662156105,-1.339695096,-1.520713925,-1.037788033
angola,2017,0.0425342173626458,0.0425342173626458,0.0425342173626458,0.0425342173626458,False,False,0.290319,-1.483337283,2862.96378,-0.971013606,44.59350803,1.04,-0.321580082,-0.969250917,-1.0038656,-1.140292645
bangladesh,2017,0.2103496503496503,0.2103496503496503,0.2612466124661246,0.1369125023221252,True,True,4.09944,-0.886878014,,-0.706855893,85.10324101,0.476,-1.259732962,-0.811327994,-0.670857012,-0.583839417
benin,2017,1.0,1.0,1.0,1.0,False,False,0.190616,-0.529120028,1035.968867,-0.624919176,78.97356015,1.07,-0.008783503,-0.58305639,-0.625831366,0.408386111
bhutan,2017,,,,,,,2.20481,1.091020465,2868.826095,0.496288836,93.14595832,2.82,1.106088281,-0.691017687,0.509927452,-0.025891906
burkina_faso,2017,0.0,0.0,0.0,0.0,False,False,0.0640501,-0.169851243,620.8830011,-0.637808084,79.91513371,0.392,-0.868710697,-0.447476685,-0.454765856,0.013836443
burundi,2017,0.0,0.0,0.0,0.0,True,False,0.0288715,-1.278321862,282.8168359,-1.483549237,49.13927197,0.174,-1.964375138,-0.854655147,-1.484841824,-1.555478096
cambodia,2017,0.7287389275952074,0.714046623480729,0.7308794277999362,0.7130051424781744,True,True,0.615923,-1.301330924,1170.176185,-0.743826747,127.4626128,1.43,0.20619081,-0.493561119,-1.080978751,-1.105340958
central_african_republic,2017,1.0,1.0,1.0,1.0,False,False,0.0156142,-1.305346489,367.0691649,-1.806020021,25.45474491,0.0417,-1.779548764,-1.416793942,-1.850577712,-1.080355525
chad,2017,0.0,0.0,0.0,0.0,False,False,0.0339141,-1.511605382,689.5409352,-1.55864954,38.27772119,0.0882,-1.301894188,-1.181247473,-1.406829596,-1.36274147
comoros,2017,,,,,,,0.220293,-0.706209838,1344.86306,-1.677169204,60.89111697,1.76,0.022001922,-1.098677754,-1.047331333,-0.290625662
democratic_republic_of_congo,2017,0.9962948767088284,0.9962948767088284,0.9962948767088284,0.9962948767088284,False,False,0.00119109,-1.366570234,470.5584182,-1.558774948,35.47706053,0,-2.224589348,-1.321727157,-1.64749825,-1.412190676
djibouti,2017,1.0,1.0,1.0,1.0,False,False,2.33941,-0.689300656,2573.336595,-1.039362907,33.73974603,2.4,-0.628553987,-0.749578178,-1.000653863,-1.370621085
east_timor,2017,1.0,1.0,1.0,1.0,False,False,0.054060146,-0.537286937,1827.359325,-1.040115595,121.8496083,0.207,-0.017668042,-0.993600726,-1.175579429,0.220837563
eritrea,2017,,,,,,,0.0192019,-1.343778849,,-1.780414701,15.03586023,2.11,-0.662282407,-2.110893965,-1.662489295,-2.170275927
ethiopia,2017,0.6303095296187348,0.6303095296187348,0.6303095296187348,0.6303095296187348,False,True,0.52381,-0.442177504,669.0269753,-0.713305473,48.64890266,1.07,-1.617245197,-1.109604597,-0.50812608,-1.402380109
gambia,2017,1.0,1.0,1.0,1.0,False,False,0.164202,-0.850145161,594.7129266,-0.936807752,122.480565,1.66,-0.442044199,-0.581205726,-0.79889518,-1.260490179
guinea,2017,0.9876126126126126,0.7987804878048781,1.0,0.9876126126126126,True,True,0.00911122,-0.946540415,802.6987966,-1.064882994,93.11888331,0,-0.396070927,-0.888324559,-1.243085742,-0.760865033
guinea_bissau,2017,,,,,,,0.0483653,-1.586325645,670.8478131,-1.706976295,70.0898639,0,-0.445275575,-1.245133281,-1.537045121,-0.733713031
haiti,2017,1.0,1.0,1.0,1.0,False,False,0.0126318,-1.354178548,1416.180039,-2.170480728,60.7065734,0.0533,-0.745547473,-1.258485794,-1.013668776,-0.759351909
kiribati,2017,,,,,,,0.0928442,0.290254235,,-0.299741596,43.87704302,0.735,0.846926332,-0.815027714,0.298903853,1.004910588
laos,2017,0.1605504587155963,0.1517067003792667,0.1605504587155963,0.1605504587155963,False,True,0.353549,-0.986315608,2138.334403,-0.432825565,57.44162039,18.3,0.524906516,-0.756473005,-0.811310947,-1.759131193
lesotho,2017,1.0,1.0,1.0,1.0,False,True,0.104674,-0.051930126,1290.250919,-0.878006041,106.485695,1.93,-0.244855866,-0.459403545,-0.186165527,-0.012902796
liberia,2017,0.869327731092437,0.869327731092437,0.869327731092437,0.869327731092437,False,False,0.168222,-0.742775202,,-1.315434337,66.23325736,0.168,-0.441768199,-0.976915777,-0.966556847,-0.106433168
madagascar,2017,0.9631336405529954,0.9631336405529954,1.0,0.9631336405529954,True,False,0.101092,-0.934489012,442.7159214,-1.227900624,31.36331074,0.569,-0.294186473,-0.735103726,-0.832802236,-0.316467643
malawi,2017,1.0,1.0,1.0,1.0,False,False,0.0495052,-0.784189403,,-0.795228839,41.24175037,0.064,-0.116127513,-0.881440103,-0.394623488,-0.030078597
mali,2017,1.0,1.0,1.0,1.0,False,True,0.111738,-0.677368283,721.3091758,-1.026530385,108.1154139,1.05,-1.612848759,-0.639129579,-0.798813403,-0.182319134
mauritania,2017,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.3054662379421222,False,False,0.272619,-0.76229012,1509.679756,-0.852689743,89.19718946,1.3,-0.748691559,-0.788824499,-0.745787799,-0.774358869
mozambique,2017,0.1433196581428779,0.1727853946602359,0.1442843747722676,0.1433196581428779,True,True,0.170461,-0.902694941,600.9383577,-0.945310771,54.25090462,0.301,-1.096814632,-0.749054015,-1.074712157,-0.416637808
myanmar,2017,0.5302549145585712,0.5241495746176921,0.5444680182212792,0.5302549145585712,True,True,0.174162,-0.641805828,,-1.011635542,97.48338233,0.999,-0.808124959,-0.872649312,-0.900859356,-0.796729267
nepal,2017,0.9565610859728508,0.9565610859728508,0.9565610859728508,0.9565610859728508,False,True,0.801933,-0.826682508,889.4771128,-0.894321322,115.2869264,3.07,-0.846989989,-0.789327502,-0.810879767,-0.251382679
niger,2017,1.0,1.0,1.0,1.0,False,False,0.0372575,-0.666101396,505.3772157,-0.693657756,35.71309522,0.778,-1.10075748,-0.720742762,-0.685213208,-0.421779066
rwanda,2017,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.5184773574533796,False,True,0.182236,0.618455648,738.2100261,0.013704088,74.77669748,0.112,-0.066518664,0.011626933,0.096975163,-1.154162645
sao_tome_and_principe,2017,,,,,,,0.699596,-0.083296224,,-0.777394295,87.00838579,2.81,0.215979159,-0.870378137,-0.687102139,0.36150983
senegal,2017,0.3601821272493005,0.3601821272493005,0.460614551536325,0.3601821272493005,True,False,0.654181,-0.024389485,1247.266451,-0.502166569,102.9497559,1.9,-0.22595489,-0.210808367,-0.122207463,0.369677246
sierra_leone,2017,,,,,,,,-0.841146886,598.3727186,-1.224290252,83.79160527,0.236,-0.167113155,-0.948930025,-0.802384138,-0.198110342
solomon_islands,2017,,,,,,,0.247441,-0.355936557,2130.542395,-0.927770734,66.32234892,1.12,0.491754383,-0.97360158,-0.30101788,0.46746549
somalia,2017,,,,,,,0.641171,-1.690856099,,-2.206104279,46.54803903,0.335,-2.347157955,-2.184588909,-2.316461563,-1.909665942
south_sudan,2017,,,,,,,0.00138503,-1.759067893,,-2.336033821,24.39882868,0,-2.412496805,-1.804660559,-1.976793885,-1.798077345
sudan,2017,,,,,,,0.0639265,-1.560569406,,-1.558816433,70.61780648,0.331,-2.331105709,-1.486272931,-1.282137632,-1.83413589
