master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link
3142721040,2017-08-11,Stonechen Comercial Produtos,Jin Yu Tang Shenzhen Fishery,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-11,2017-09-29,N,,Yes,No,,2017-09-29,,Acq. Maj. Int.,No,,,,,,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-11,,No,,2F7025,,1F7036,China Ocean Fishing Hldg Ltd,1F7036,China Ocean Fishing Hldg Ltd,Hong Kong,7F8058,,7F8054,Stonechen Comercial,7F8054,Stonechen Comercial,BZ16B53,,Agriculture & Livestock,Agriculture & Livestock,Consumer Staples,Consumer Staples,China,CH,Mozambique,MZ,Sub.,Sub.,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jin Yu Tang Shenzhen Fishery Co Ltd is a finfish fishing establishment. The Company is located in Shenzhen, China.","Stonechen Comercial Produtos de Pesca de Moma Ltd is a finfish fishing establishment. The Company is located in Nampula, Mozambique.",,,Unspecified,Stock,mozambique,hong_kong,True,False,False,False,True,False,agriculture_and_livestock,True,False
3143151040,2017-06-13,Albatros Energy Mali,African Infrastructure Invest,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-06-13,2017-06-13,N,,No,No,,2017-06-13,,Acq. Part. Int.,No,,,,,,,,44.0,44.0,,,44.0,44.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-06-13,,No,,7F8414,,01168F,African Infrastructure Invest,68001F,Old Mutual PLC,South Africa,7F8404,,7F8402,Albatros Energy,7F8402,Albatros Energy,BDVPYN5,,Alternative Financial Investments,Power,Financials,Energy and Power,South Africa,SA,Mali,MY,Sub.,Sub.,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,African Infrastructure Investment Fund 3 is an infrastructure private equity fund. It is headquartered in South Africa.,Albatros Energy Mali is a power and communication line construction company. The Company is located in Mali.,,,Unspecified,Stock,mali,south_africa,False,False,False,False,True,False,power,False,False
3143738040,2017-01-03,Azalai Hotels Group SA,Africinvest Fund III LLC,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-01-03,2017-01-03,N,,No,No,,2017-01-03,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,18.117,2017-01-03,,No,,2E1458,,89976A,AfricInvest Tunisia SARL,89976A,AfricInvest Tunisia SARL,Singapore,7F8813,,7F8813,Azalai Hotels Group SA,7F8813,Azalai Hotels Group SA,6907558,,Other Financials,Hotels and Lodging,Financials,Media and Entertainment,South Africa,SA,Mali,MY,Priv.,Sub.,7011,,18.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africinvest Fund III LLC is a financial vehicle. The Company was founded in 1994 and is located in South Africa.,"Azalai Hotels Group SA is a hotel operator. The Company is located in Bamako, Mali.",,,"Cash, Cash Only",Stock,mali,singapore,True,False,True,False,True,False,hotels_and_lodging,False,False
3144061040,2017-08-16,Lubambe Copper Mine Ltd,EMR Capital Advisors Pty Ltd,,,,2.0,Yes,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-16,2017-12-28,N,,No,No,,2017-12-28,,Acq. Maj. Int.,No,,1.0,1.0,,100.0,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,2.0,No,No,97.1,2017-08-16,,No,,1E6231,,1E6231,EMR Capital Advisors Pty Ltd,1E6231,EMR Capital Advisors Pty Ltd,Australia,7F8973,,00828X,African Rainbow Minerals Ltd,00828X,African Rainbow Minerals Ltd,,6041122,Alternative Financial Investments,Metals & Mining,Financials,Materials,Australia,AU,Zambia,ZA,J.V.,Priv.,1021,,97.1,120.616,120.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMR Capital Advisors Pty Ltd is a specialist mining private equity firm. They are a specialist resources private equity manager with a proven track record in successful resources project development, operation, and investments and deep linkages to Asian markets. The Company was founded in Jan 2011 and is located in Melbourne, Australia.","Lubambe Copper Mine Ltd is a copper and nickel ore mine operator. The Company is located in Chingola, Zambia.",,,"Cash Only, Cash Only",Stock,zambia,australia,False,False,False,True,False,False,metals_and_mining,True,False
3144303040,2017-09-20,TCT Industrias Florestais Ltd,Amire Glory Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-31,2017-09-20,N,,Yes,No,,2017-09-20,,Acq. Maj. Int.,No,,,,,,,,52.0,52.0,,,52.0,52.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-09-20,,No,,8F5156,,8F5156,Amire Glory Ltd,8F5156,Amire Glory Ltd,United Kingdom,6E8565,,0A5391,Premier African Minerals Ltd,0A5391,Premier African Minerals Ltd,,B8J4BR2,Metals & Mining,Metals & Mining,Materials,Materials,United Kingdom,UK,Mozambique,MZ,Sub.,Priv.,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amire Glory Ltd is a dimension stone quarry operator. The Company is located in the United Kingdom.,"TCT Industrias Florestais Ltd is a dimension stone quarry operator. Its business includes timber tract operations. It owns a substantial limestone deposit and forestry business located on rail in the Sofala Province of Mozambique. It offers timber, furniture, turnings, wooden houses, bee hives and honey related products. The Company is located in Sofala, Mozambique.",,,Unspecified,Stock,mozambique,united_kingdom,False,False,False,True,False,False,metals_and_mining,True,False
3144944040,2017-05-02,Maifa Mining Corporation,Alliance Global Capital Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-05-02,2017-05-02,N,,No,No,,2017-05-02,,Acq. Maj. Int.,No,,,,,100.0,,,50.0,50.0,,,50.0,50.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,12.5,2017-05-02,,No,,7F9668,,7F9668,Alliance Global Capital Ltd,7F9668,Alliance Global Capital Ltd,Australia,7F9656,,7F9656,Maifa Mining Corporation,7F9656,Maifa Mining Corporation,,,Other Financials,Metals & Mining,Financials,Materials,Australia,AU,Mali,MY,Priv.,Public,1041,,12.5,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alliance Global Capital Ltd is an investment holding company. The Company was founded in April 2010 and is located in New South Wales, Australia.",Maifa Mining Corporation is a gold ore mine operator. The Company is located in Mali.,,,"Cash, Cash Only",Stock,mali,australia,False,False,False,True,False,False,metals_and_mining,True,False
3145051040,2017-08-29,SanLei,One Thousand & One Voices LLC,,,,,Yes,Yes,No,,No,Friendly,No,No,No,No,,,No,2017-08-29,2017-08-29,N,,No,No,,2017-08-29,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-29,,No,,5C9090,,5C9090,One Thousand & One Voices LLC,5C9090,One Thousand & One Voices LLC,United States,7F9767,,7F9767,SanLei,7F9767,SanLei,,,Alternative Financial Investments,Agriculture & Livestock,Financials,Consumer Staples,United States,US,Lesotho,LO,Priv.,Priv.,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Thousand & One Voices LLC is a financial sponsor. It is designed to enhance what private equity investment has to offer with the Intellectual Capital, Relational Capital and Financial Capitalor Three-Dimensional Capital of companies. The Company was founded in 2013 and is located in Greenwood Village, Colorado.",SanLei is a fish farming establishment. It is located on the shores of the Katse Dam. It produces high quality trout. The Company is located in Lesotho.,,,Unspecified,Assets,lesotho,united_states,False,False,False,True,False,False,agriculture_and_livestock,True,False
3145073040,2017-08-28,Century Huesoul Wood Process,Century Ply (Singapore) Pte,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-28,2017-08-28,N,,No,No,,2017-08-28,,Acq. Maj. Int.,No,,,,,,,,2.0,2.0,,,2.0,2.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-28,,No,,2F5295,,15741Y,Centuryply Ltd,15741Y,Centuryply Ltd,India,7F9793,,2F5295,Century Ply (Singapore) Pte,15741Y,Centuryply Ltd,B03KTQ5,B03KTQ5,Construction Materials,Construction Materials,Materials,Materials,Singapore,SG,Laos,LS,Sub.,Sub.,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Century Ply (Singapore) Pte Ltd is a manufacturer of hardwood veneer and plywood. The Company's subsidiary includes - Century Ply Laos Co Ltd in Laos. The Company is located in Singapore, Singapore.","Century Huesoulin Wood Process Factory Co Ltd is a manufacturer of hardwood veneer and plywood. The Company was founded in 1989 and is located in Savannakhet, Laos.",,,Unspecified,Stock,laos,india,False,False,False,False,True,False,construction_materials,False,False
3146359040,2017-09-06,Twyford (Tanzania) Ceramics,Keda Holding (Mauritius) Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,No,,No,2017-09-06,2018-05-17,N,,Yes,No,,2018-05-17,,Acq. Maj. Int.,No,,,,,100.0,,,11.0,51.0,40.0,40.0,11.0,51.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.11,2017-09-06,,No,,8F0717,,0C3946,Keda Clean Energy Co Ltd,0C3946,Keda Clean Energy Co Ltd,China (Mainland),8F0712,,8F0702,Sunda (MU) Holdings Ltd,4E1170,Guangzhou Sunda Intl Trading,6546650,,Other Financials,Construction Materials,Financials,Materials,Mauritius,MV,Tanzania,TZ,Sub.,Sub.,3253,,0.11,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keda Holding (Mauritius) Ltd is a provider of financial investment services. The Company is located in Mauritius.,Twyford (Tanzania) Ceramics Co Ltd is a manufacturer and wholesaler of ceramic wall and floor tiles. The Company was founded in January 2016 and is located in Tanzania.,,,"Cash, Cash Only",Stock,tanzania,china,False,False,False,False,True,False,construction_materials,False,False
3148295040,2017-08-31,Societe de Distn de Gaz,Amethis West Africa,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-31,2017-08-31,N,,No,No,,2017-08-31,,Acq. Part. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-31,,No,,8F1854,,9A5897,Amethis Advisory Sas,9A5897,Amethis Advisory Sas,France,8F1830,,8F1830,Societe de Distn de Gaz,8F1830,Societe de Distn de Gaz,,,Other Financials,Oil & Gas,Financials,Energy and Power,Ivory Coast,IV,Burkina Faso,BF,Priv.,Sub.,4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amethis West Africa is a private equity fund, led by Amethis Advisory SAS. It was founded in March 2014 and is located in Abidjan, Ivory Coast.","Societe de Distribution de Gaz African Petroleum Company SA is a natural gas distributor. It is the leader in the distribution of LPG bottled gas in Burkina Faso. The Company was founded in February 1977 and is located in Ouagadougou, Burkina Faso.",,,Unspecified,Stock,burkina_faso,france,False,False,False,True,False,False,oil_and_gas,True,True
