country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count
democratic_republic_of_congo,2017,782.7,782.7,782.7,782.7,779.8000000000001,779.8000000000001,779.8000000000001,779.8000000000001,6,6,6,6,5,5,5,5,979.936,1.628,979.936,979.936,57.628,1.628,57.628,57.628,7,5,7,7,4,3,4,4,1762.636,784.3280000000001,1762.636,1762.636,837.4280000000001,781.4280000000001,837.4280000000001,837.4280000000001,13,11,13,13,9,8,9,9,0.4750997937180451,0.9963025672932753,0.4750997937180451,0.4750997937180451,0.6923076923076923,0.7272727272727273,0.6923076923076923,0.6923076923076923
djibouti,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
east_timor,2017,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eritrea,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethiopia,2017,1605.0454300000001,1605.0454300000001,1605.0454300000001,1605.0454300000001,1011.6754299999999,1011.6754299999999,1011.6754299999999,1011.6754299999999,24,24,24,24,13,13,13,13,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,2,1,2,2,0,0,0,0,1606.9454300000002,1606.9454300000002,1606.9454300000002,1606.9454300000002,1011.6754299999999,1011.6754299999999,1011.6754299999999,1011.6754299999999,26,25,26,26,13,13,13,13,0.629564272135862,0.629564272135862,0.629564272135862,0.629564272135862,0.5,0.52,0.5,0.5
gambia,2017,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
guinea,2017,532.8000000000001,32.8,526.2,532.8000000000001,526.2,26.2,526.2,526.2,5,4,4,5,4,3,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,532.8000000000001,32.8,526.2,532.8000000000001,526.2,26.2,526.2,526.2,6,4,5,6,4,3,4,4,0.9876126126126126,0.7987804878048781,1.0,0.9876126126126126,0.6666666666666666,0.75,0.8,0.6666666666666666
guinea_bissau,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haiti,2017,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,74.19999999999999,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kiribati,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
