master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3065628040,2017-01-31,Mothae Diamonds (Pty) Ltd,Lucapa Diamond Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-01-31,2018-02-12,N,,Yes,No,,2018-02-12,,Acq. Maj. Int.,No,,,,,100.0,,,70.0,70.0,,,70.0,70.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,9.0,2017-01-31,,No,,54938J,B1HMNC8,54938J,Lucapa Diamond Co Ltd,54938J,Lucapa Diamond Co Ltd,Australia,7C6022,,54925C,Lucara Diamond Corp,54925C,Lucara Diamond Corp,B1HMNC8,2862565,Metals & Mining,Metals & Mining,Materials,Materials,Australia,AU,Lesotho,LO,Sub.,Public,1499,,9.0,13.02,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lucapa Diamond Co Ltd is a mining and exploration company which engages in diamond mining. It explores, develops and commercializes diamond projects in the RSA, including the Lulo Diamond Concession, Schmidtsdrift Diamond Mine, Kamfersdam, Klipspringer JV and Groen River. The Company was founded on October 25, 2004 and is headquartered in Subiaco, Australia.","Mothae Diamonds (Pty) Ltd, located in Lesotho, provides diamond mining services.",,,"Cash Only, Cash Only",Stock,lesotho,australia,False,False,False,True,False,False,metals_and_mining,True,False,2017
3145051040,2017-08-29,SanLei,One Thousand & One Voices LLC,,,,,Yes,Yes,No,,No,Friendly,No,No,No,No,,,No,2017-08-29,2017-08-29,N,,No,No,,2017-08-29,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-29,,No,,5C9090,,5C9090,One Thousand & One Voices LLC,5C9090,One Thousand & One Voices LLC,United States,7F9767,,7F9767,SanLei,7F9767,SanLei,,,Alternative Financial Investments,Agriculture & Livestock,Financials,Consumer Staples,United States,US,Lesotho,LO,Priv.,Priv.,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Thousand & One Voices LLC is a financial sponsor. It is designed to enhance what private equity investment has to offer with the Intellectual Capital, Relational Capital and Financial Capitalor Three-Dimensional Capital of companies. The Company was founded in 2013 and is located in Greenwood Village, Colorado.",SanLei is a fish farming establishment. It is located on the shores of the Katse Dam. It produces high quality trout. The Company is located in Lesotho.,,,Unspecified,Assets,lesotho,united_states,False,False,False,True,False,False,agriculture_and_livestock,True,False,2017
3173028040,2017-11-07,Pharm Dvlp Corp Ltd,Corix Bioscience Inc,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-11-07,2017-11-07,N,,No,No,,2017-11-07,,Merger,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-11-07,,No,,9F6883,,9F6883,Corix Bioscience Inc,9F6883,Corix Bioscience Inc,United States,9F6850,,9F6850,Pharm Dvlp Corp Ltd,9F6850,Pharm Dvlp Corp Ltd,,,Pharmaceuticals,Pharmaceuticals,Healthcare,Healthcare,United States,US,Lesotho,LO,Priv.,Public,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corix Bioscience Inc is a manufacturer of medicinals and botanicals it provides cannabidiol (CBD) oil for various medicinal purposes. It engages in the planting, harvesting, and extraction of CBD oil from the industrial Hemp plant. The Company is located in Phoenix, Arizona.",Pharmaceutical Development Corp Ltd is a manufacturer of pharmaceutical preparation. The Company is located in Lesotho.,,,Unspecified,Stock,lesotho,united_states,False,False,False,True,False,False,pharmaceuticals,False,False,2017
