master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3087039040,2017-03-13,Perkoa Group,Trevali Mining Corp,,,1.0,1.0,No,No,No,416.943,No,Friendly,No,No,No,No,No,,No,2017-03-13,2017-08-31,N,,Yes,No,,2017-08-31,,Acq. Maj. Int.,No,,2.0,1.0,57.14,,42.86,,90.0,90.0,,,90.0,90.0,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,429.139,2017-03-13,,No,,89531J,B66J1R6,89531J,Trevali Mining Corp,89531J,Trevali Mining Corp,Canada,71403P,,37827X,Glencore PLC,37827X,Glencore PLC,B66J1R6,B4T3BW6,Metals & Mining,Metals & Mining,Materials,Materials,Canada,CA,Burkina Faso,BF,Sub.,Public,1031,,429.139,419.592,419.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trevali Mining Corp, located in Vancouver, British Columbia, is a mineral mining company, focusing on zinc base metals development company with active operations in Canada and Peru. It also explores for silver, lead, and copper in South America. It has partnered with Glencore International AG to develop a property in Peru's Central Mineral Belt. Its main projects include the Santander Mine, Halfmile Deposit, Stratmat Property and the Ruttan Property. The Company was founded in 1993.","Perkoa Group operates a zinc mine. It is located in the Sanguie Province of Burkina Faso, 120km west of Ouagadougou.",Common Stock Issue,An amended XOF 133.484 bil (USD 245.21 mil) cash plus XOF 100.981 bil (USD 185.502 mil) shs com/90% interest; originally XOF 171.679 bil (USD 274 mil) cash plus XOF 97.744 bil (USD 156 mil) shs com/90% interest,"Cash, Common Stock, Cash, Common Stock","Stock, Stock, Stock, Stock",burkina_faso,canada,False,False,False,True,False,False,metals_and_mining,True,False,2017
3099463040,2017-04-21,Epsilon Gold Mines-Korongou,Golden Rim Resources Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-04-21,2017-04-21,N,,No,Yes,,2017-04-21,,Acq. Rem. Int.,No,,,,,100.0,,,10.0,100.0,90.0,90.0,10.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.115,2017-04-21,,No,,69854N,BRT6ZH9,69854N,Golden Rim Resources Ltd,69854N,Golden Rim Resources Ltd,Australia,4C9834,,4C9832,Epsilon Gold Mines Ltd,4C9832,Epsilon Gold Mines Ltd,BRT6ZH9,,Metals & Mining,Metals & Mining,Materials,Materials,Australia,AU,Burkina Faso,BF,Sub.,Public,1041,,0.115,1.153,1.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Golden Rim Resources Ltd, located in Subiaco, Australia, is a gold exploration company with a portfolio of minerals projects in Guinea and Burkina Faso, West Africa and in Chile, South America. Its projects include Kada Gold Project, Kouri Gold Project, and Paguanta Copper and Zinc-Silver-Lead Project. Kada Gold Project (Kada) comprises two exploration permits, Kada and Bamfele, and covers an area of approximately 200 square kilometers (km2) in eastern Guinea. The project is located in the central Siguiri Basin and lies 36 kilometers (km) along the strike from the 10 million ounces (Moz) Siguiri Gold Mine operated by AngloGold Ashanti. Kouri Project is located 230 km northeast of Ouagadougou. It covers an area of approximately 325 km2. The Project is located in the Samira Greenstone Belt. The Paguanta Project is located in the Tarapaca Region of northern Chile, approximately 195 km northeast of Iquique and 30 km west of the Chile-Bolivia border. Its project also includes Loreto Copper Project in Chile. The Company was founded in February 1987.","Korongou project of Epsilon Gold Mines Ltd, located in Burkina Faso.",,,"Cash Only, Cash Only",Ownership Interest,burkina_faso,australia,False,False,False,True,False,False,metals_and_mining,True,False,2017
3148295040,2017-08-31,Societe de Distn de Gaz,Amethis West Africa,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-08-31,2017-08-31,N,,No,No,,2017-08-31,,Acq. Part. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-08-31,,No,,8F1854,,9A5897,Amethis Advisory Sas,9A5897,Amethis Advisory Sas,France,8F1830,,8F1830,Societe de Distn de Gaz,8F1830,Societe de Distn de Gaz,,,Other Financials,Oil & Gas,Financials,Energy and Power,Ivory Coast,IV,Burkina Faso,BF,Priv.,Sub.,4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amethis West Africa is a private equity fund, led by Amethis Advisory SAS. It was founded in March 2014 and is located in Abidjan, Ivory Coast.","Societe de Distribution de Gaz African Petroleum Company SA is a natural gas distributor. It is the leader in the distribution of LPG bottled gas in Burkina Faso. The Company was founded in February 1977 and is located in Ouagadougou, Burkina Faso.",,,Unspecified,Stock,burkina_faso,france,False,False,False,True,False,False,oil_and_gas,True,True,2017
